id,source_type,file,line,callee,caller,layer,domain,english_text,placeholders
artifact.c:L1604:pline:30,c_source,artifact.c,1604,pline,artifact_hit,1,artifact,"Good job Henry, but that wasn't Anne.",0
artifact.c:L1614:pline:32,c_source,artifact.c,1614,pline,artifact_hit,1,artifact,%s slices through your %s.,2
artifact.c:L1619:pline:33,c_source,artifact.c,1619,pline,artifact_hit,1,artifact,ROLL_FROM(behead_msg),0
artifact.c:L1648:pline_The:34,c_source,artifact.c,1648,pline_The,artifact_hit,1,artifact,The %s blade draws the %s from %s!,3
artifact.c:L1651:pline:35,c_source,artifact.c,1651,pline,artifact_hit,1,artifact,%s draws the %s from %s!,3
artifact.c:L1684:pline_The:37,c_source,artifact.c,1684,pline_The,artifact_hit,1,artifact,The %s blade drains your %s!,2
artifact.c:L1686:pline:38,c_source,artifact.c,1686,pline,artifact_hit,1,artifact,%s drains your %s!,2
artifact.c:L1794:You_feel:42,c_source,artifact.c,1794,You_feel,invoke_energy_boost,1,artifact,You feel re-energized.,0
artifact.c:L1898:You:44,c_source,artifact.c,1898,You,invoke_create_portal,1,artifact,You are surrounded by a shimmering sphere!,0
artifact.c:L1979:pline:46,c_source,artifact.c,1979,pline,invoke_banish,1,artifact,%s %s %s in a cloud of brimstone!,3
artifact.c:L2075:You_feel:53,c_source,artifact.c,2075,You_feel,arti_invoke_cost,1,artifact,You feel that %s %s ignoring you.,2
artifact.c:L2088:You_feel:54,c_source,artifact.c,2088,You_feel,arti_invoke_cost,1,artifact,You feel drained...,0
artifact.c:L2097:impossible:55,c_source,artifact.c,2097,impossible,arti_invoke,1,artifact,arti_invoke without obj,0
artifact.c:L2152:impossible:56,c_source,artifact.c,2152,impossible,arti_invoke,1,artifact,Unknown invoke power %d.,1
artifact.c:L2161:You_feel:57,c_source,artifact.c,2161,You_feel,arti_invoke,1,artifact,You feel that %s %s ignoring you.,2
artifact.c:L2179:You_feel:58,c_source,artifact.c,2179,You_feel,arti_invoke,1,artifact,You feel like a rabble-rouser.,0
artifact.c:L2180:You_feel:59,c_source,artifact.c,2180,You_feel,arti_invoke,1,artifact,You feel the tension decrease around you.,0
artifact.c:L2256:pline:62,c_source,artifact.c,2256,pline,arti_speak,1,artifact,%s:,1
artifact.c:L2446:pline:63,c_source,artifact.c,2446,pline,Sting_effects,1,artifact,%s is %s.,2
artifact.c:L2464:pline:64,c_source,artifact.c,2464,pline,Sting_effects,1,artifact,%s %s %s%c,4
artifact.c:L2472:pline:65,c_source,artifact.c,2472,pline,Sting_effects,1,artifact,%s %s slightly.,2
artifact.c:L2477:pline:66,c_source,artifact.c,2477,pline,Sting_effects,1,artifact,%s stops %s.,2
artifact.c:L2499:You_cant:67,c_source,artifact.c,2499,You_cant,retouch_object,1,artifact,You can't handle %s%s!,2
artifact.c:L2549:pline:68,c_source,artifact.c,2549,pline,retouch_object,1,artifact,%s to the %s.,2
artifact.c:L2726:pline_The:69,c_source,artifact.c,2726,pline_The,mkot_trap_warn,1,artifact,The Key feels %s%c,2
ball.c:L26:pline:0,c_source,ball.c,26,pline,ballrelease,1,ball,"Startled, you drop the iron ball.",0
ball.c:L54:pline_The:1,c_source,ball.c,54,pline_The,ballfall,1,ball,The iron ball falls on your %s.,1
ball.c:L119:impossible:4,c_source,ball.c,119,impossible,placebc_core,1,ball,Where are your ball and chain?,0
ball.c:L200:impossible:5,c_source,ball.c,200,impossible,placebc,1,ball,bc already placed?,0
ball.c:L206:impossible:6,c_source,ball.c,206,impossible,unplacebc,1,ball,"unplacebc denied, restriction in place",0
ball.c:L221:impossible:7,c_source,ball.c,221,impossible,unplacebc_and_covet_placebc,1,ball,"unplacebc_and_covet_placebc denied, already restricted",0
ball.c:L245:impossible:8,c_source,ball.c,245,impossible,lift_covet_and_placebc,1,ball,bc already placed?,0
ball.c:L272:impossible:9,c_source,ball.c,272,impossible,Placebc,1,ball,"Placebc collision at %s:%d, already placed by %s:%d",4
ball.c:L306:impossible:10,c_source,ball.c,306,impossible,Unplacebc_and_covet_placebc,1,ball,"Unplacebc_and_covet_placebc denied to %s:%d, restricted by %s:%d",4
ball.c:L337:impossible:11,c_source,ball.c,337,impossible,Lift_covet_and_placebc,1,ball,bc already placed?,0
ball.c:L364:impossible:12,c_source,ball.c,364,impossible,bc_order,1,ball,bc_order:  ball&chain not in same location!,0
ball.c:L756:impossible:13,c_source,ball.c,756,impossible,drag_ball,1,ball,bad chain movement,0
ball.c:L763:You:14,c_source,ball.c,763,You,drag_ball,1,ball,You cannot %sdrag the heavy iron ball.,1
ball.c:L785:You_feel:15,c_source,ball.c,785,You_feel,drag_ball,1,ball,You feel a tug from the iron ball.,0
ball.c:L788:You:16,c_source,ball.c,788,You,drag_ball,1,ball,You are jerked back by the iron ball!,0
ball.c:L913:Your:22,c_source,ball.c,913,Your,drop_ball,1,ball,Your %s %s is severely damaged.,2
ball.c:L999:You:24,c_source,ball.c,999,You,drag_down,1,ball,You lose your grip on the iron ball.,0
ball.c:L1003:pline_The:25,c_source,ball.c,1003,pline_The,drag_down,1,ball,The iron ball drags you downstairs!,0
ball.c:L1012:pline_The:26,c_source,ball.c,1012,pline_The,drag_down,1,ball,The iron ball smacks into you!,0
ball.c:L1020:pline_The:27,c_source,ball.c,1020,pline_The,drag_down,1,ball,The iron ball drags you downstairs!,0
ball.c:L1029:impossible:28,c_source,ball.c,1029,impossible,bc_sanity_check,1,ball,Punished without %s%s%s?,3
ball.c:L1041:impossible:29,c_source,ball.c,1041,impossible,bc_sanity_check,1,ball,Attached %s%s%s without being Punished?,3
ball.c:L1064:impossible:30,c_source,ball.c,1064,impossible,bc_sanity_check,1,ball,"uball: type %d (%s), where %d, wornmask=0x%08lx",4
ball.c:L1077:impossible:31,c_source,ball.c,1077,impossible,bc_sanity_check,1,ball,"uchain: type %d (%s), where %d, wornmask=0x%08lx",4
ball.c:L1093:impossible:32,c_source,ball.c,1093,impossible,bc_sanity_check,1,ball,"b&c distance: you@<%d,%d>, chain@<%d,%d>, ball@<%d,%d>",6
bones.c:L419:pline:0,c_source,bones.c,419,pline,savebones,1,bones,Cannot unlink old bones.,0
bones.c:L651:pline:1,c_source,bones.c,651,pline,getbones,1,bones,Discarding unusable bones; no need to panic...,0
bones.c:L793:You:2,c_source,bones.c,793,You,fix_ghostly_obj,1,bones,You make adjustments to %s to suit your %s hand.,2
botl.c:L3905:getlin:9,c_source,botl.c,3905,getlin,status_hilite_menu_add,3,status_hud,buf,2
botl.c:L4176:getlin:17,c_source,botl.c,4176,getlin,status_hilite_menu_add,3,status_hud,qry_buf,0
cfgfiles.c:L175:pline:0,c_source,cfgfiles.c,175,pline,do_write_config_file,1,cfgfiles,"Strange, could not figure out config file name.",0
cfgfiles.c:L182:pline:1,c_source,cfgfiles.c,182,pline,do_write_config_file,1,cfgfiles,Warning: saveoptions is highly experimental!,0
cfgfiles.c:L183:pline:2,c_source,cfgfiles.c,183,pline,do_write_config_file,1,cfgfiles,Some settings are not saved!,0
cfgfiles.c:L185:pline:3,c_source,cfgfiles.c,185,pline,do_write_config_file,1,cfgfiles,All manual customization and comments are removed from the file!,0
cfgfiles.c:L208:pline:4,c_source,cfgfiles.c,208,pline,do_write_config_file,1,cfgfiles,"An error occurred, wrote only partial data (%zu/%zu).",2
cfgfiles.c:L262:raw_printf:5,c_source,cfgfiles.c,262,raw_printf,set_configfile_name,1,cfgfiles,Access to %s denied (%d).,2
cfgfiles.c:L272:raw_printf:6,c_source,cfgfiles.c,272,raw_printf,set_configfile_name,1,cfgfiles,Couldn't open requested config file %s (%d).,2
cfgfiles.c:L364:raw_printf:7,c_source,cfgfiles.c,364,raw_printf,set_configfile_name,1,cfgfiles,Couldn't open default config file %s %s(%d).,3
cfgfiles.c:L425:raw_printf:8,c_source,cfgfiles.c,425,raw_printf,get_uchars,1,cfgfiles,Syntax error in %s,1
cfgfiles.c:L1591:pline:11,c_source,cfgfiles.c,1591,pline,config_erradd,1,cfgfiles,%s %s%s%s,4
cfgfiles.c:L1618:pline:12,c_source,cfgfiles.c,1618,pline,config_error_done,1,cfgfiles,"
%d error%s %s %s.
",4
cfgfiles.c:L2199:raw_printf:13,c_source,cfgfiles.c,2199,raw_printf,assure_syscf_file,1,cfgfiles,"Unable to open SYSCF_FILE.
",0
cmd.c:L469:pline:0,c_source,cmd.c,469,pline,can_do_extcmd,1,command,unavailcmd,0
cmd.c:L471:You_cant:1,c_source,cmd.c,471,You_cant,can_do_extcmd,1,command,You can't do that while you are buried!,0
cmd.c:L493:pline:2,c_source,cmd.c,493,pline,doextcmd,1,command,'%s' prefix has no effect for the %s command.,2
cmd.c:L708:getlin:3,c_source,cmd.c,708,getlin,doextlist,3,command,promptbuf,0
cmd.c:L775:impossible:4,c_source,cmd.c,775,impossible,extcmd_via_menu,1,command,Exceeded %d extended commands in doextcmd() menu; 'extmenu' disabled.,1
cmd.c:L871:yn_function:6,c_source,cmd.c,871,yn_function,domonability,3,command,Hide [h] or spin a web [s]?,0
cmd.c:L919:You:8,c_source,cmd.c,919,You,domonability,1,command,You shriek.,0
cmd.c:L920:pline:9,c_source,cmd.c,920,pline,domonability,1,command,Unfortunately sound does not carry well through rock.,0
cmd.c:L928:pline:10,c_source,cmd.c,928,pline,domonability,1,command,Any special ability you may have is purely reflexive.,0
cmd.c:L940:You:13,c_source,cmd.c,940,You,enter_explore_mode,1,command,You cannot access explore mode.,0
cmd.c:L942:pline:14,c_source,cmd.c,942,pline,enter_explore_mode,1,command,Note: normally you wouldn't be allowed into explore mode.,0
cmd.c:L946:pline:15,c_source,cmd.c,946,pline,enter_explore_mode,1,command,"Beware!  From explore mode there will be no return to %s,",1
cmd.c:L964:pline:17,c_source,cmd.c,964,pline,enter_explore_mode,1,command,Continuing with %s.,1
cmd.c:L986:pline:18,c_source,cmd.c,986,pline,makemap_prepost,1,command,Unachieve,0
cmd.c:L995:pline:19,c_source,cmd.c,995,pline,makemap_prepost,1,command,Unachieve,0
cmd.c:L1276:You:21,c_source,cmd.c,1276,You,lookaround_known_room,1,command,You guess %s to be %s %s.,3
cmd.c:L1282:You:22,c_source,cmd.c,1282,You,lookaround_known_room,1,command,You can't guess the size of %s area.,1
cmd.c:L1352:pline:23,c_source,cmd.c,1352,pline,dotoggleoption,1,command,Use #optionsfull to set any option instead.,0
cmd.c:L1513:Norep:24,c_source,cmd.c,1513,Norep,do_reqmenu,1,command,"Double %s prefix, canceled.",1
cmd.c:L1541:Norep:25,c_source,cmd.c,1541,Norep,do_rush,1,command,"Double rush prefix, canceled.",0
cmd.c:L1581:Norep:27,c_source,cmd.c,1581,Norep,do_fight,1,command,"Double fight prefix, canceled.",0
cmd.c:L1605:Norep:28,c_source,cmd.c,1605,Norep,do_repeat,1,command,There is no command available to repeat.,0
cmd.c:L2265:pline:29,c_source,cmd.c,2265,pline,handler_rebind_keys_add,1,command,Bind which key? ,0
cmd.c:L2343:getlin:30,c_source,cmd.c,2343,getlin,handler_rebind_keys_add,3,command,querybuf,1
cmd.c:L2352:pline:31,c_source,cmd.c,2352,pline,handler_rebind_keys_add,1,command,Bind which key? ,0
cmd.c:L2364:pline:32,c_source,cmd.c,2364,pline,handler_rebind_keys_add,1,command,"Changed key '%s' from ""%s"" to ""%s"".",3
cmd.c:L2370:pline:33,c_source,cmd.c,2370,pline,handler_rebind_keys_add,1,command,"Bound key '%s' to ""%s"".",2
cmd.c:L2373:pline:34,c_source,cmd.c,2373,pline,handler_rebind_keys_add,1,command,Key binding failed?!,0
cmd.c:L3251:raw_printf:35,c_source,cmd.c,3251,raw_printf,parseautocomplete,1,command,Bad autocomplete: invalid extended command '%s'.,1
cmd.c:L3693:pline:36,c_source,cmd.c,3693,pline,rhack,1,command,The '%s' prefix should be followed by a movement command%s.,2
cmd.c:L3755:You_cant:37,c_source,cmd.c,3755,You_cant,rhack,1,command,You can't get there from here...,0
cmd.c:L3879:getdir:38,c_source,cmd.c,3879,getdir,get_adjacent_loc,3,command,prompt,0
cmd.c:L3894:getdir:39,c_source,cmd.c,3894,getdir,getdir,3,command,const char *s,0
cmd.c:L3923:impossible:40,c_source,cmd.c,3923,impossible,getdir,1,command,getdir: command queue had no dir?,0
cmd.c:L3932:yn_function:41,c_source,cmd.c,3932,yn_function,getdir,3,command,"(s && *s != '^') ? s : ""In what direction?""",0
cmd.c:L4078:You_cant:44,c_source,cmd.c,4078,You_cant,getdir,1,command,You can't orient yourself that direction.,0
cmd.c:L4294:getdir:46,c_source,cmd.c,4294,getdir,dotherecmdmenu,3,command,(const char *) 0,0
cmd.c:L5048:impossible:47,c_source,cmd.c,5048,impossible,get_count,1,command,get_count: cmdcount_nht,0
cmd.c:L5314:pline:49,c_source,cmd.c,5314,pline,dotravel_target,1,command,No travel destination set.,0
cmd.c:L5436:yn_function:52,c_source,cmd.c,5436,yn_function,yn_function,3,command,const char *query,0
cmd.c:L5551:impossible:53,c_source,cmd.c,5551,impossible,yn_function,1,command,yn_function() returned '%s'; using '%s' instead,2
cmd.c:L5551:yn_function:54,c_source,cmd.c,5551,yn_function,yn_function,3,command,,0
cmd.c:L5606:getlin:55,c_source,cmd.c,5606,getlin,paranoid_ynq,3,command,qbuf,0
cmd.c:L5625:yn_function:56,c_source,cmd.c,5625,yn_function,paranoid_ynq,3,command,prompt,0
cmd.c:L5627:yn_function:57,c_source,cmd.c,5627,yn_function,paranoid_ynq,3,command,prompt,0
cmd.c:L5642:Norep:58,c_source,cmd.c,5642,Norep,dosuspend_core,1,command,cmdnotavail,0
cmd.c:L5649:Norep:59,c_source,cmd.c,5649,Norep,dosh_core,1,command,cmdnotavail,0
dbridge.c:L254:impossible:0,c_source,dbridge.c,254,impossible,create_drawbridge,1,dbridge,bad direction in create_drawbridge,0
dbridge.c:L423:pline:1,c_source,dbridge.c,423,pline,e_died,1,dbridge,A %s force teleports you away...,1
dbridge.c:L459:pline:2,c_source,dbridge.c,459,pline,e_died,1,dbridge,"Unfortunately for %s, %s is still crushed.",2
dbridge.c:L567:pline_The:3,c_source,dbridge.c,567,pline_The,do_entity,1,dbridge,The %s passes through %s!,2
dbridge.c:L574:pline_The:4,c_source,dbridge.c,574,pline_The,do_entity,1,dbridge,The portcullis misses %s!,1
dbridge.c:L597:pline:5,c_source,dbridge.c,597,pline,do_entity,1,dbridge,%s crushed underneath the drawbridge.,1
dbridge.c:L611:pline:6,c_source,dbridge.c,611,pline,do_entity,1,dbridge,%s crushed by the falling portcullis!,1
dbridge.c:L617:You_hear:7,c_source,dbridge.c,617,You_hear,do_entity,1,dbridge,You hear a crushing sound.,0
dbridge.c:L699:You:8,c_source,dbridge.c,699,You,do_entity,1,dbridge,You tumble towards the closed portcullis!,0
dbridge.c:L701:You:9,c_source,dbridge.c,701,You,do_entity,1,dbridge,You pass through it!,0
dbridge.c:L705:pline_The:10,c_source,dbridge.c,705,pline_The,do_entity,1,dbridge,The drawbridge closes in...,0
dbridge.c:L707:pline:11,c_source,dbridge.c,707,pline,do_entity,1,dbridge,%s behind the drawbridge.,1
dbridge.c:L722:You_hear:12,c_source,dbridge.c,722,You_hear,do_entity,1,dbridge,You hear a splash.,0
dbridge.c:L727:pline:13,c_source,dbridge.c,727,pline,do_entity,1,dbridge,%s from the bridge.,1
dbridge.c:L741:pline:15,c_source,dbridge.c,741,pline,do_entity,1,dbridge,%s into the %s.,2
dbridge.c:L777:You_see:16,c_source,dbridge.c,777,You_see,close_drawbridge,1,dbridge,You see a drawbridge %s up!,1
dbridge.c:L789:You_hear:17,c_source,dbridge.c,789,You_hear,close_drawbridge,1,dbridge,You hear chains rattling and gears turning.,0
dbridge.c:L813:You_hear:18,c_source,dbridge.c,813,You_hear,close_drawbridge,1,dbridge,You hear smashing and crushing.,0
dbridge.c:L840:You_see:19,c_source,dbridge.c,840,You_see,open_drawbridge,1,dbridge,You see a drawbridge %s down!,1
dbridge.c:L852:You_hear:20,c_source,dbridge.c,852,You_hear,open_drawbridge,1,dbridge,You hear gears turning and chains rattling.,0
dbridge.c:L906:pline_The:21,c_source,dbridge.c,906,pline_The,destroy_drawbridge,1,dbridge,The portcullis of the drawbridge falls into the %s!,1
dbridge.c:L910:You_hear:22,c_source,dbridge.c,910,You_hear,destroy_drawbridge,1,dbridge,You hear a loud *SPLASH*!,0
dbridge.c:L912:pline_The:23,c_source,dbridge.c,912,pline_The,destroy_drawbridge,1,dbridge,The drawbridge collapses into the %s!,1
dbridge.c:L914:You_hear:24,c_source,dbridge.c,914,You_hear,destroy_drawbridge,1,dbridge,You hear a loud *SPLASH*!,0
dbridge.c:L925:pline_The:25,c_source,dbridge.c,925,pline_The,destroy_drawbridge,1,dbridge,The drawbridge disintegrates!,0
dbridge.c:L927:You_hear:26,c_source,dbridge.c,927,You_hear,destroy_drawbridge,1,dbridge,You hear a loud *CRASH*!,0
dbridge.c:L962:pline:27,c_source,dbridge.c,962,pline,destroy_drawbridge,1,dbridge,%s blown apart by flying debris.,1
dbridge.c:L985:pline:28,c_source,dbridge.c,985,pline,destroy_drawbridge,1,dbridge,%s into some heavy metal!,1
dbridge.c:L987:pline:29,c_source,dbridge.c,987,pline,destroy_drawbridge,1,dbridge,%s hit by a huge chunk of metal!,1
dbridge.c:L994:You_hear:30,c_source,dbridge.c,994,You_hear,destroy_drawbridge,1,dbridge,You hear a crushing sound.,0
decl.c:L989:raw_printf:0,c_source,decl.c,989,raw_printf,unknown,1,decl,"\
                 ""decl_globals_init: %s.havestate not True.""",0
detect.c:L402:You:0,c_source,detect.c,402,You,gold_detect,1,detection,You notice some gold between your %s.,1
detect.c:L505:You:2,c_source,detect.c,505,You,food_detect,1,detection,You sense a lack of %s nearby.,1
detect.c:L534:You:4,c_source,detect.c,534,You,food_detect,1,detection,You %s %s nearby.,2
detect.c:L579:Your:7,c_source,detect.c,579,Your,food_detect,1,detection,Your %s tingles and you smell %s.,2
detect.c:L581:You:8,c_source,detect.c,581,You,food_detect,1,detection,You sense %s.,1
detect.c:L611:impossible:9,c_source,detect.c,611,impossible,object_detect,1,detection,object_detect:  illegal class %d,1
detect.c:L684:You:10,c_source,detect.c,684,You,object_detect,1,detection,You sense %s nearby.,1
detect.c:L770:You:11,c_source,detect.c,770,You,object_detect,1,detection,You detect the %s of %s.,2
detect.c:L836:pline:13,c_source,detect.c,836,pline,monster_detect,1,detection,Monsters sense the presence of you.,0
detect.c:L1071:Your:15,c_source,detect.c,1071,Your,trap_detect,1,detection,Your %s itch.,1
detect.c:L1111:Your:17,c_source,detect.c,1111,Your,furniture_detect,1,detection,Your map already shows all relevant locations.,0
detect.c:L1210:pline:19,c_source,detect.c,1210,pline,use_crystal_ball,1,detection,%s too much to comprehend!,1
detect.c:L1214:pline:20,c_source,detect.c,1214,pline,use_crystal_ball,1,detection,%s you!,1
detect.c:L1219:pline:21,c_source,detect.c,1219,pline,use_crystal_ball,1,detection,%s your vision!,1
detect.c:L1226:pline:22,c_source,detect.c,1226,pline,use_crystal_ball,1,detection,%s your vision.,1
detect.c:L1227:You:23,c_source,detect.c,1227,You,use_crystal_ball,1,detection,You are unaffected!,0
detect.c:L1230:pline:24,c_source,detect.c,1230,pline,use_crystal_ball,1,detection,%s your mind!,1
detect.c:L1249:pline:26,c_source,detect.c,1249,pline,use_crystal_ball,1,detection,All you see is funky %s haze.,1
detect.c:L1258:You:27,c_source,detect.c,1258,You,use_crystal_ball,1,detection,You grok some groovy globs of incandescent lava.,0
detect.c:L1261:pline:28,c_source,detect.c,1261,pline,use_crystal_ball,1,detection,"Whoa!  Psychedelic colors, %s!",1
detect.c:L1266:pline_The:29,c_source,detect.c,1266,pline_The,use_crystal_ball,1,detection,The crystal pulses with sinister %s light!,1
detect.c:L1271:You_see:30,c_source,detect.c,1271,You_see,use_crystal_ball,1,detection,You see goldfish swimming above fluorescent rocks.,0
detect.c:L1274:You_see:31,c_source,detect.c,1274,You_see,use_crystal_ball,1,detection,You see tiny snowflakes spinning around a miniature farmhouse.,0
detect.c:L1278:pline:32,c_source,detect.c,1278,pline,use_crystal_ball,1,detection,Oh wow... like a kaleidoscope!,0
