id,source_type,file,line,caller_func,callee_func,layer,semantic_role,domain,literal_type,raw_format,placeholders_count,inferred_format
apply.c:L343:pline:21,c_source,apply.c,343,use_stethoscope,pline,1,NARRATION_PLINE,apply/tool,literal,%s interferes.,1,
apply.c:L352:pline:22,c_source,apply.c,352,use_stethoscope,pline,1,NARRATION_PLINE,apply/tool,literal,%s interferes.,1,
apply.c:L358:You_hear:23,c_source,apply.c,358,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,literal,faint splashing.,0,
apply.c:L366:You_hear:24,c_source,apply.c,366,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,literal,the crackling of hellfire.,0,
apply.c:L368:pline_The:25,c_source,apply.c,368,use_stethoscope,pline_The,1,OBJECT_ACTION,apply/tool,literal,%s seems healthy enough.,1,
apply.c:L371:You_hear:26,c_source,apply.c,371,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,literal,your heart beat.,0,
apply.c:L382:You_hear:27,c_source,apply.c,382,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,literal,a faint typing noise.,0,
apply.c:L397:There:28,c_source,apply.c,397,use_stethoscope,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,is %s hidden there.,1,
apply.c:L430:pline:29,c_source,apply.c,430,use_stethoscope,pline,1,NARRATION_PLINE,apply/tool,literal,%s %s %s really %s.,4,
apply.c:L436:There:30,c_source,apply.c,436,use_stethoscope,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,is %s there.,1,
apply.c:L442:pline_The:31,c_source,apply.c,442,use_stethoscope,pline_The,1,OBJECT_ACTION,apply/tool,literal,invisible monster must have moved.,0,
apply.c:L448:You_hear:32,c_source,apply.c,448,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,variable,hollow_str,0,
apply.c:L455:You_hear:33,c_source,apply.c,455,use_stethoscope,You_hear,1,AUDIO_SE,apply/tool,variable,hollow_str,0,
apply.c:L461:You:34,c_source,apply.c,461,use_stethoscope,You,1,PLAYER_ACTION,apply/tool,literal,hear nothing special.,0,
apply.c:L473:You:35,c_source,apply.c,473,use_whistle,You,1,PLAYER_ACTION,apply/tool,literal,are incapable of using the whistle.,0,
apply.c:L475:You:36,c_source,apply.c,475,use_whistle,You,1,PLAYER_ACTION,apply/tool,literal,blow bubbles through %s.,1,
apply.c:L479:You_feel:37,c_source,apply.c,479,use_whistle,You_feel,1,PERCEPTION_FEELING,apply/tool,literal,rushing air tickle your %s.,1,
apply.c:L481:You:38,c_source,apply.c,481,use_whistle,You,1,PLAYER_ACTION,apply/tool,variable,whistle_str,0,
apply.c:L489:You:39,c_source,apply.c,489,use_magic_whistle,You,1,PLAYER_ACTION,apply/tool,literal,are incapable of using the whistle.,0,
apply.c:L495:You:40,c_source,apply.c,495,use_magic_whistle,You,1,PLAYER_ACTION,apply/tool,literal,produce a %shigh-%s.,2,
apply.c:L503:You:41,c_source,apply.c,503,use_magic_whistle,You,1,PLAYER_ACTION,apply/tool,conditional,Deaf ? alt_whistle_str : whistle_str,0,
apply.c:L678:pline:42,c_source,apply.c,678,magic_whistled,pline,1,NARRATION_PLINE,apply/tool,literal,%s.,1,
apply.c:L718:pline_mon:43,c_source,apply.c,718,m_unleash,pline_mon,1,MONSTER_EVENT,apply/tool,variable,mtmp,0,
apply.c:L726:Your:44,c_source,apply.c,726,m_unleash,Your,1,PLAYER_CHANGE,apply/tool,literal,leash falls slack.,0,
apply.c:L776:You_cant:45,c_source,apply.c,776,use_leash,You_cant,1,PLAYER_CONSTRAINT,apply/tool,conditional,"(!obj->leashmon                   ? ""leash %s from inside.""                   : (obj->leashmon == (int) u.ustuck->m_id)                     ? ""unleash %s from inside.""                     : ""unleash anything from inside %s."")",0,
apply.c:L782:You:46,c_source,apply.c,782,use_leash,You,1,PLAYER_ACTION,apply/tool,literal,cannot leash any more pets.,0,
apply.c:L793:pline:47,c_source,apply.c,793,use_leash,pline,1,NARRATION_PLINE,apply/tool,literal,Leash yourself?  Very funny...,0,
apply.c:L799:There:48,c_source,apply.c,799,use_leash,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,is no creature there.,0,
apply.c:L821:You:49,c_source,apply.c,821,use_leash_core,You,1,PLAYER_ACTION,apply/tool,literal,fail to %sleash something.,1,
apply.c:L826:pline:50,c_source,apply.c,826,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,%s %s leashed!,2,
apply.c:L829:pline:51,c_source,apply.c,829,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,This %s is already leashed.,1,
apply.c:L833:pline:52,c_source,apply.c,833,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,The leash would just fall off.,0,
apply.c:L836:pline:53,c_source,apply.c,836,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,%s has no extremities the leash would fit.,1,
apply.c:L843:pline:54,c_source,apply.c,843,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,The leash won't fit onto %s%s.,2,
apply.c:L847:You:55,c_source,apply.c,847,use_leash_core,You,1,PLAYER_ACTION,apply/tool,literal,slip the leash around %s%s.,2,
apply.c:L856:pline:56,c_source,apply.c,856,use_leash_core,pline,1,NARRATION_PLINE,apply/tool,literal,This leash is not attached to that creature.,0,
apply.c:L858:pline_The:57,c_source,apply.c,858,use_leash_core,pline_The,1,OBJECT_ACTION,apply/tool,literal,leash would not come off!,0,
apply.c:L864:You:58,c_source,apply.c,864,use_leash_core,You,1,PLAYER_ACTION,apply/tool,literal,remove the leash from %s%s.,2,
apply.c:L887:impossible:59,c_source,apply.c,887,mleashed_next2u,impossible,1,SYSTEM_WARNING,apply/tool,literal,leashed-unleashed mon?,0,
apply.c:L899:You_feel:60,c_source,apply.c,899,mleashed_next2u,You_feel,1,PERCEPTION_FEELING,apply/tool,literal,%s leash go slack.,1,
apply.c:L931:impossible:61,c_source,apply.c,931,check_leash,impossible,1,SYSTEM_WARNING,apply/tool,literal,leash in use isn't attached to anything?,0,
apply.c:L948:Your:62,c_source,apply.c,948,check_leash,Your,1,PLAYER_CHANGE,apply/tool,literal,leash chokes %s to death!,1,
apply.c:L958:pline_mon:63,c_source,apply.c,958,check_leash,pline_mon,1,MONSTER_EVENT,apply/tool,variable,mtmp,0,
apply.c:L965:pline:64,c_source,apply.c,965,check_leash,pline,1,NARRATION_PLINE,apply/tool,literal,%s leash snaps loose!,1,
apply.c:L967:You:65,c_source,apply.c,967,check_leash,You,1,PLAYER_ACTION,apply/tool,literal,pull on the leash.,0,
apply.c:L1011:getdir:66,c_source,apply.c,1011,use_mirror,getdir,3,PROMPT_GETDIR,apply/tool,variable,(char *) 0,0,
apply.c:L1024:pline_The:67,c_source,apply.c,1024,use_mirror,pline_The,1,OBJECT_ACTION,apply/tool,literal,%s fogs up and doesn't reflect!,1,
apply.c:L1027:pline:68,c_source,apply.c,1027,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s,1,
apply.c:L1031:You_cant:69,c_source,apply.c,1031,use_mirror,You_cant,1,PLAYER_CONSTRAINT,apply/tool,literal,see your %s %s.,2,
apply.c:L1036:You:70,c_source,apply.c,1036,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,stiffen momentarily under your gaze.,0,
apply.c:L1040:pline:71,c_source,apply.c,1040,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,Yow!  The %s stares back!,1,
apply.c:L1043:pline:72,c_source,apply.c,1043,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,Yikes!  You've frozen yourself!,0,
apply.c:L1052:You:73,c_source,apply.c,1052,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,don't have a reflection.,0,
apply.c:L1054:pline:74,c_source,apply.c,1054,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,Huh?  That doesn't look like you!,0,
apply.c:L1058:You:75,c_source,apply.c,1058,use_mirror,You,1,PLAYER_ACTION,apply/tool,variable,look_str,0,
apply.c:L1059:You:76,c_source,apply.c,1059,use_mirror,You,1,PLAYER_ACTION,apply/tool,variable,look_str,0,
apply.c:L1061:You:77,c_source,apply.c,1061,use_mirror,You,1,PLAYER_ACTION,apply/tool,variable,look_str,0,
apply.c:L1062:You:78,c_source,apply.c,1062,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,look like %s.,1,
apply.c:L1064:You:79,c_source,apply.c,1064,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,look as %s as ever.,1,
apply.c:L1068:You:80,c_source,apply.c,1068,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,reflect %s %s.,2,
apply.c:L1072:You:81,c_source,apply.c,1072,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,%s.,1,
apply.c:L1080:You:82,c_source,apply.c,1080,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,reflect the %s.,1,
apply.c:L1107:pline:83,c_source,apply.c,1107,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s is too tired to look at your %s.,2,
apply.c:L1109:pline:84,c_source,apply.c,1109,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s can't see anything right now.,1,
apply.c:L1112:pline:85,c_source,apply.c,1112,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s fails to notice your %s.,2,
apply.c:L1118:pline:86,c_source,apply.c,1118,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s in the dark.,1,
apply.c:L1123:pline:87,c_source,apply.c,1123,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s doesn't have a reflection.,1,
apply.c:L1129:pline:88,c_source,apply.c,1129,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s is turned to stone!,1,
apply.c:L1134:pline:89,c_source,apply.c,1134,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s is frozen by its reflection.,1,
apply.c:L1136:You_hear:90,c_source,apply.c,1136,use_mirror,You_hear,1,AUDIO_SE,apply/tool,literal,%s stop moving.,1,
apply.c:L1140:pline:91,c_source,apply.c,1140,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s confuses itself!,1,
apply.c:L1148:pline:92,c_source,apply.c,1148,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s in your %s.,2,
apply.c:L1152:pline:93,c_source,apply.c,1152,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s takes it!,1,
apply.c:L1153:pline:94,c_source,apply.c,1153,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,It steals your %s!,1,
apply.c:L1165:You:95,c_source,apply.c,1165,use_mirror,You,1,PLAYER_ACTION,apply/tool,literal,discern no obvious reaction from %s.,1,
apply.c:L1168:You_feel:96,c_source,apply.c,1168,use_mirror,You_feel,1,PERCEPTION_FEELING,apply/tool,literal,a bit silly gesturing the mirror in that direction.,0,
apply.c:L1171:pline:97,c_source,apply.c,1171,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s is frightened by its reflection.,1,
apply.c:L1183:pline:98,c_source,apply.c,1183,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s doesn't seem to notice %s reflection.,2,
apply.c:L1187:pline:99,c_source,apply.c,1187,use_mirror,pline,1,NARRATION_PLINE,apply/tool,literal,%s ignores %s reflection.,2,
apply.c:L1204:You:100,c_source,apply.c,1204,use_bell,You,1,PLAYER_ACTION,apply/tool,literal,ring %s.,1,
apply.c:L1207:pline:101,c_source,apply.c,1207,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,But the sound is muffled.,0,
apply.c:L1209:pline:102,c_source,apply.c,1209,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,But it makes no sound.,0,
apply.c:L1225:You:103,c_source,apply.c,1225,use_bell,You,1,PLAYER_ACTION,apply/tool,literal,summon %s!,1,
apply.c:L1226:pline:104,c_source,apply.c,1226,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,%s shattered!,1,
apply.c:L1254:pline:105,c_source,apply.c,1254,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,%s an unsettling shrill sound...,1,
apply.c:L1279:pline:106,c_source,apply.c,1279,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,%s opens...,1,
apply.c:L1282:pline:107,c_source,apply.c,1282,use_bell,pline,1,NARRATION_PLINE,apply/tool,literal,Things open around you...,0,
apply.c:L1303:You:108,c_source,apply.c,1303,use_candelabrum,You,1,PLAYER_ACTION,apply/tool,literal,snuff the %s.,1,
apply.c:L1310:pline:109,c_source,apply.c,1310,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,This %s has no %s.,2,
apply.c:L1323:pline:110,c_source,apply.c,1323,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,"To attach candles, apply them instead of the %s.",1,
apply.c:L1329:You:111,c_source,apply.c,1329,use_candelabrum,You,1,PLAYER_ACTION,apply/tool,literal,cannot make fire under water.,0,
apply.c:L1333:pline_The:112,c_source,apply.c,1333,use_candelabrum,pline_The,1,OBJECT_ACTION,apply/tool,literal,"%s %s for a moment, then %s.",3,
apply.c:L1337:There:113,c_source,apply.c,1337,use_candelabrum,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,%s only %d %s in %s.,4,
apply.c:L1342:pline:114,c_source,apply.c,1342,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,%s lit.  %s dimly.,2,
apply.c:L1347:pline:115,c_source,apply.c,1347,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,%s's %s burn%s,3,
apply.c:L1352:pline_The:116,c_source,apply.c,1352,use_candelabrum,pline_The,1,OBJECT_ACTION,apply/tool,literal,%s %s being rapidly consumed!,2,
apply.c:L1363:impossible:117,c_source,apply.c,1363,use_candelabrum,impossible,1,SYSTEM_WARNING,apply/tool,literal,Candelabrum with candles but no fuel?,0,
apply.c:L1365:pline:118,c_source,apply.c,1365,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,%s a strange warmth!,1,
apply.c:L1368:pline:119,c_source,apply.c,1368,use_candelabrum,pline,1,NARRATION_PLINE,apply/tool,literal,%s with a strange light!,1,
apply.c:L1378:You:120,c_source,apply.c,1378,use_candle,You,1,PLAYER_ACTION,apply/tool,variable,no_elbow_room,0,
apply.c:L1424:You:121,c_source,apply.c,1424,use_candle,You,1,PLAYER_ACTION,apply/tool,literal,attach %ld%s %s to %s.,4,
apply.c:L1431:pline_The:122,c_source,apply.c,1431,use_candle,pline_The,1,OBJECT_ACTION,apply/tool,literal,new %s magically %s!,2,
apply.c:L1434:pline:123,c_source,apply.c,1434,use_candle,pline,1,NARRATION_PLINE,apply/tool,literal,%s out.,1,
apply.c:L1440:verbalize:124,c_source,apply.c,1440,use_candle,verbalize,1,SPEECH_DIALOG,apply/tool,literal,"You %s %s, you bought %s!",3,
apply.c:L1446:pline:125,c_source,apply.c,1446,use_candle,pline,1,NARRATION_PLINE,apply/tool,literal,%s now has seven%s candles attached.,2,
apply.c:L1470:pline:126,c_source,apply.c,1470,snuff_candle,pline,1,NARRATION_PLINE,apply/tool,literal,%s%scandle%s flame%s extinguished.,4,
apply.c:L1494:pline:127,c_source,apply.c,1494,snuff_lit,pline,1,NARRATION_PLINE,apply/tool,literal,%s %s out!,2,
apply.c:L1542:pline:128,c_source,apply.c,1542,splash_lit,pline,1,NARRATION_PLINE,apply/tool,literal,%s %s%s%s.,4,
apply.c:L1590:pline:129,c_source,apply.c,1590,catch_lit,pline,1,NARRATION_PLINE,apply/tool,literal,%s %s %s,3,
apply.c:L1603:verbalize:130,c_source,apply.c,1603,catch_lit,verbalize,1,SPEECH_DIALOG,apply/tool,literal,"That's in addition to the cost of %s %s, of course.",2,
apply.c:L1627:pline:131,c_source,apply.c,1627,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s%s is now off.,2,
apply.c:L1631:You:132,c_source,apply.c,1631,use_lamp,You,1,PLAYER_ACTION,apply/tool,literal,snuff out %s.,1,
apply.c:L1633:pline:133,c_source,apply.c,1633,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s.,1,
apply.c:L1646:Your:134,c_source,apply.c,1646,use_lamp,Your,1,PLAYER_CHANGE,apply/tool,literal,lantern is out of power.,0,
apply.c:L1647:pline:135,c_source,apply.c,1647,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s,1,
apply.c:L1652:pline:136,c_source,apply.c,1652,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,This %s has no oil.,1,
apply.c:L1656:pline_The:137,c_source,apply.c,1656,use_lamp,pline_The,1,OBJECT_ACTION,apply/tool,literal,lamp spills and covers your %s with oil.,1,
apply.c:L1661:pline:138,c_source,apply.c,1661,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,"%s for a moment, then %s.",2,
apply.c:L1665:pline:139,c_source,apply.c,1665,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s,1,
apply.c:L1670:pline:140,c_source,apply.c,1670,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s%s is now on.,2,
apply.c:L1671:pline:141,c_source,apply.c,1671,use_lamp,pline,1,NARRATION_PLINE,apply/tool,literal,%s flame%s %s%s,4,
apply.c:L1684:verbalize:142,c_source,apply.c,1684,use_lamp,verbalize,1,SPEECH_DIALOG,apply/tool,literal,"You burn %s, you bought %s!",2,
apply.c:L1689:You:143,c_source,apply.c,1689,light_cocktail,You,1,PLAYER_ACTION,apply/tool,variable,no_elbow_room,0,
apply.c:L1691:You:144,c_source,apply.c,1691,light_cocktail,You,1,PLAYER_ACTION,apply/tool,literal,snuff the lit potion.,0,
apply.c:L1715:There:145,c_source,apply.c,1715,light_cocktail,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,is not enough oxygen to sustain a fire.,0,
apply.c:L1719:You:146,c_source,apply.c,1719,light_cocktail,You,1,PLAYER_ACTION,apply/tool,literal,light %spotion.%s,2,
apply.c:L1735:verbalize:147,c_source,apply.c,1735,light_cocktail,verbalize,1,SPEECH_DIALOG,apply/tool,literal,"That's in addition to the cost of the potion, of course.",0,
apply.c:L1762:You:148,c_source,apply.c,1762,dorub,You,1,PLAYER_ACTION,apply/tool,literal,aren't able to rub anything without hands.,0,
apply.c:L1780:pline:149,c_source,apply.c,1780,dorub,pline,1,NARRATION_PLINE,apply/tool,literal,"Sorry, I don't know how to use that.",0,
apply.c:L1820:You:150,c_source,apply.c,1820,dorub,You,1,PLAYER_ACTION,apply/tool,literal,%s smoke.,1,
apply.c:L1823:pline:151,c_source,apply.c,1823,dorub,pline,1,NARRATION_PLINE,apply/tool,literal,Rubbing the electric lamp is not particularly rewarding.,0,
apply.c:L1824:pline:152,c_source,apply.c,1824,dorub,pline,1,NARRATION_PLINE,apply/tool,literal,"Anyway, nothing exciting happens.",0,
apply.c:L1884:pline:153,c_source,apply.c,1884,is_valid_jump_pos,pline,1,NARRATION_PLINE,apply/tool,literal,Illegal move!,0,
apply.c:L1886:pline:154,c_source,apply.c,1886,is_valid_jump_pos,pline,1,NARRATION_PLINE,apply/tool,literal,Too far!,0,
apply.c:L1888:You:155,c_source,apply.c,1888,is_valid_jump_pos,You,1,PLAYER_ACTION,apply/tool,literal,cannot jump there!,0,
apply.c:L1893:You:156,c_source,apply.c,1893,is_valid_jump_pos,You,1,PLAYER_ACTION,apply/tool,literal,cannot see where to land!,0,
apply.c:L1931:You_cant:157,c_source,apply.c,1931,is_valid_jump_pos,You_cant,1,PLAYER_CONSTRAINT,apply/tool,literal,jump diagonally out of a doorway.,0,
apply.c:L1936:There:158,c_source,apply.c,1936,is_valid_jump_pos,There,1,ENVIRONMENT_PRESENCE,apply/tool,literal,is an obstacle preventing that jump.,0,
apply.c:L1977:You_cant:159,c_source,apply.c,1977,jump,You_cant,1,PLAYER_CONSTRAINT,apply/tool,literal,jump; you have no legs!,0,
apply.c:L1980:You_cant:160,c_source,apply.c,1980,jump,You_cant,1,PLAYER_CONSTRAINT,apply/tool,literal,jump very far.,0,
apply.c:L1994:You:161,c_source,apply.c,1994,jump,You,1,PLAYER_ACTION,apply/tool,literal,bounce around a little.,0,
apply.c:L1996:pline:162,c_source,apply.c,1996,jump,pline,1,NARRATION_PLINE,apply/tool,literal,You've got to be kidding!,0,
apply.c:L1998:You:163,c_source,apply.c,1998,jump,You,1,PLAYER_ACTION,apply/tool,literal,swish around a little.,0,
apply.c:L2000:pline:164,c_source,apply.c,2000,jump,pline,1,NARRATION_PLINE,apply/tool,literal,"This calls for swimming, not jumping!",0,
apply.c:L2007:You:165,c_source,apply.c,2007,jump,You,1,PLAYER_ACTION,apply/tool,literal,pull free from %s.,1,
apply.c:L2010:You:166,c_source,apply.c,2010,jump,You,1,PLAYER_ACTION,apply/tool,literal,writhe a little in the grasp of %s!,1,
apply.c:L2014:You:167,c_source,apply.c,2014,jump,You,1,PLAYER_ACTION,apply/tool,literal,cannot escape from %s!,1,
apply.c:L2021:You:168,c_source,apply.c,2021,jump,You,1,PLAYER_ACTION,apply/tool,literal,flail around a little.,0,
apply.c:L2023:You:169,c_source,apply.c,2023,jump,You,1,PLAYER_ACTION,apply/tool,literal,don't have enough traction to jump.,0,
apply.c:L2027:You:170,c_source,apply.c,2027,jump,You,1,PLAYER_ACTION,apply/tool,literal,are carrying too much to jump!,0,
apply.c:L2031:You:171,c_source,apply.c,2031,jump,You,1,PLAYER_ACTION,apply/tool,literal,lack the strength to jump!,0,
apply.c:L2037:pline:172,c_source,apply.c,2037,jump,pline,1,NARRATION_PLINE,apply/tool,literal,%s is stuck in a trap.,1,
apply.c:L2038:pline:173,c_source,apply.c,2038,jump,pline,1,NARRATION_PLINE,apply/tool,literal,Where do you want to jump?,0,
apply.c:L2049:pline:174,c_source,apply.c,2049,jump,pline,1,NARRATION_PLINE,apply/tool,literal,%s isn't capable of jumping in place.,1,
apply.c:L2062:You:175,c_source,apply.c,2062,jump,You,1,PLAYER_ACTION,apply/tool,literal,rip yourself free of the bear trap!  Ouch!,0,
apply.c:L2068:You:176,c_source,apply.c,2068,jump,You,1,PLAYER_ACTION,apply/tool,literal,leap from the pit!,0,
apply.c:L2069:You:177,c_source,apply.c,2069,jump,You,1,PLAYER_ACTION,apply/tool,literal,tear the web apart as you pull yourself free!,0,
apply.c:L2077:You:178,c_source,apply.c,2077,jump,You,1,PLAYER_ACTION,apply/tool,literal,pull yourself above the %s!,1,
apply.c:L2082:You:179,c_source,apply.c,2082,jump,You,1,PLAYER_ACTION,apply/tool,literal,"strain your %s, but you're still %s.",2,
apply.c:L2093:impossible:180,c_source,apply.c,2093,jump,impossible,1,SYSTEM_WARNING,apply/tool,literal,Jumping out of strange trap (%d)?,1,
apply.c:L2108:You:181,c_source,apply.c,2108,jump,You,1,PLAYER_ACTION,apply/tool,literal,jump up and %s back down.,1,
apply.c:L2114:You:182,c_source,apply.c,2114,jump,You,1,PLAYER_ACTION,apply/tool,literal,%s.,1,
apply.c:L2154:You:183,c_source,apply.c,2154,use_tinning_kit,You,1,PLAYER_ACTION,apply/tool,literal,seem to be out of tins.,0,
apply.c:L2158:You:184,c_source,apply.c,2158,use_tinning_kit,You,1,PLAYER_ACTION,apply/tool,literal,cannot tin %s which is partly eaten.,1,
