Group,Source,Translation,Adj,Verb
Message,"Slender stabbing blade designed to penetrate armor joints.","甲冑の隙間を突くために設計された細身の刺突剣。",,
Message,"Raw worm tooth. Can be transformed into crysknife with scroll of enchant weapon.","ワームの生の歯。武器強化の巻物でクリスナイフへと変化する。",,
Message,"Razor-sharp crystal blade created from worm tooth.","ワームの歯から作られたカミソリのように鋭利な結晶の刃。",,
Message,"Woodcutting tool that doubles as a deadly hand axe.","致命的な手斧としても使用できる木こり用の斧。",,
Message,"Devastating 2-handed battle axe.","壊滅的な破壊力を誇る両手持ちのバトルアックス。",,
Message,"Standard one-handed short sword.","標準的な片手用ショートソード。",,
Message,"Elven short sword.","エルフのショートソード。",,
Message,"Orcish short sword.","オークのショートソード。",,
Message,"Dwarvish short sword.","ドワーフのショートソード。",,
Message,"Curved sword favored by desert warriors.","砂漠の戦士に愛用される曲刀（シミター）。",,
Message,"Silver burns evil entities on touch, making it one of the deadliest weapons in Gehennom.","銀は触れるだけで邪悪を焼き灼く、ゲヘノムで最も致命的な武器の1つ。",,
Message,"Heavy broad-bladed sword.","幅広の重厚な剣（ブロードソード）。",,
Message,"Elven broadsword.","エルフのブロードソード。",,
Message,"The classic adventurer sidearm. Reliable and versatile in single-handed combat.","冒険者のクラシックな片手剣。信頼性と汎用性に優れた長剣。",,
Message,"Massive 2-handed sword dealing 3d6 damage to large beasts.","大型モンスターに対して 3d6 ダメージを叩き込む巨大な両手剣。",,
Message,"Masterwork folded steel blade with highest single-handed longsword base damage.","片手剣最高峰の基本攻撃力を誇る名工の折り返し鍛造刀（カタナ）。",,
Message,"Giant 2-handed Samurai blade capable of severe slicing.","凄まじい斬撃力を秘めた侍の巨大な両手刀（ツルギ）。",,
Message,"Runed sword infused with dark magic.","ルーン文字が刻まれた闇の魔法を宿す剣。",,
Message,"Heavy dwarvish digging tool that acts as a lethal 2-handed weapon.","致命的な両手武器としても機能する重厚なドワーフの掘削ツール（マトック）。",,
Message,"Heavy lance dealing devastating damage during horseback charging.","乗馬突撃時に強烈なダメージを与える重ランス。",,
Message,"Heavy blunt mace.","重厚な打撃武器（メイス）。",,
Message,"Silver mace delivering bludgeoning silver damage.","銀の打撃属性ダメージを与える銀のメイス。",,
Message,"Spiked ball morning star.","スパイクのついた鉄球型モーニングスター。",,
Message,"Heavy war hammer.","重厚なウォーハンマー。",,
Message,"Basic wooden club.","素朴な木製棍棒。",,
Message,"Flexible weapon that disarms opponents and insulates against electricity.","相手の武器を奪い、電撃を絶縁する柔軟なゴムホース。",,
Message,"Simple wooden pole loved by spellcasters and monks.","詠唱者や修道士に愛されるシンプルな木製杖。",,
Message,"Thonged club that automatically returns to hand when thrown.","投擲しても自動的に手元へと戻ってくる紐付き棍棒（グラップリング・クラブ）。",,
Message,"Chained flail.","鎖で繋がれた鉄球打撃武器（フレイル）。",,
Message,"Leather whip capable of disarming enemies and taming beasts.","敵の武器を落とさせ、野生動物をテイム（手懐け）できる革の鞭。",,
Message,"Wooden bow for firing arrows.","矢を発射するための木製の弓。",,
Message,"Elven bow with higher fire velocity.","連射速度と威力を高めたエルフの弓。",,
Message,"Orcish bow.","オークの弓。",,
Message,"Japanese long bow (Yumi).","長大な威力を誇る和弓。",,
Message,"Leather sling for launching rocks and flint stones.","石や火打ち石を投射するための革製スリング（投石紐）。",,
Message,"Crossbow for shooting bolts.","強力なボルトを発射するクロスボウ。",,

Message,"Light elven leather helm.","軽量なエルフの革兜。",,
Message,"Orcish iron skull cap.","オークの鉄製スカルキャップ。",,
Message,"Dwarvish hard iron hat.","頑丈なドワーフの鉄帽子。",,
Message,"Stylish fedora hat.","スタイリッシュなフェドーラ帽。",,
Message,"Conical wizard hat boosting spellcasting success for Wizards.","魔法使の呪文詠唱成功率を引き上げるとんがり帽子。",,
Message,"Dunce cap reducing Intelligence when worn.","着用すると知能が低下する愚者の帽子。",,
Message,"Dented iron pot worn as emergency helm.","緊急用の兜代わりに頭に被る凹んだ鉄鍋。",,
Message,"Enchanted helmet that boosts Intelligence and Wisdom.","知能と叡智を大幅に高めるエンチャントされた輝きの兜。",,
Message,"Standard plumed iron helmet.","標準的な羽飾り付き鉄兜。",,
Message,"Helm of caution preventing surprise attacks.","不意打ちや奇襲を防ぐ警告の兜。",,
Message,"Cursed helmet inverting alignment (Lawful <-> Chaotic).","着用者の属性（秩序↔混沌）を反転させる呪われた兜。",,
Message,"Visored helm that grants Telepathy (ESP) to see mind-bearing monsters.","精神を持つモンスターの位置を透視するテレパシー（ESP）を付与する兜。",,
Message,"Forged from gray dragon scales. Grants essential Magic Resistance.","グレー・ドラゴンの鱗から作られた甲冑。必須となる魔法耐性を付与する。",,
Message,"Gold dragon scale mail granting Disintegration Resistance.","分解耐性を付与するゴールド・ドラゴンスケールメイル。",,
Message,"Forged from silver dragon scales. Reflects rays and death zaps.","シルバー・ドラゴンの鱗から作られた甲冑。死の光線やビームを反らし反射する。",,
Message,"Red dragon scale mail granting Fire Resistance.","火炎耐性を付与するレッド・ドラゴンスケールメイル。",,
Message,"White dragon scale mail granting Cold Resistance.","冷気耐性を付与するホワイト・ドラゴンスケールメイル。",,
Message,"Orange dragon scale mail granting Sleep Resistance.","睡眠耐性を付与するオレンジ・ドラゴンスケールメイル。",,
Message,"Black dragon scale mail granting Disintegration Resistance.","分解耐性を付与するブラック・ドラゴンスケールメイル。",,
Message,"Blue dragon scale mail granting Shock Resistance.","電撃耐性を付与するブルー・ドラゴンスケールメイル。",,
Message,"Green dragon scale mail granting Poison Resistance.","グリーン・ドラゴンスケールメイル。",,
Message,"Yellow dragon scale mail granting Acid Resistance.","酸耐性を付与するイエロー・ドラゴンスケールメイル。",,
Message,"Maximum early physical protection for heavy melee knights.","序盤における近接重騎士のための最高峰の物理防御甲冑（プレートメイル）。",,
Message,"Heavy crystalline plate mail.","重厚な結晶のプレートメイル。",,
Message,"Lightweight elven mithril coat that never hinders spellcasting.","呪文の詠唱を一切妨げない軽量なエルフのミスリルコート。",,
Message,"Tropical shirt worn under body armor for extra enchantment slots.","鎧の下に重ね着してAC強化枠を増やせるアロハシャツ。",,
Message,"Casual T-shirt worn under armor for extra enchantment AC.","鎧の下に重ね着できるTシャツ。",,
Message,"Waterproof cloak protecting wearer and inventory from water damage.","水濡れや水没から着用者とインベントリのアイテムを守る完全防水マント。",,
Message,"Spellcaster robe that dramatically increases spellcasting success.","呪文の詠唱成功率を飛躍的に高める魔法使のローブ。",,
Message,"Protective cloak granting high AC and Magic Cancellation (MC3).","高い防具ACと最高レベルの魔法打ち消し効果(MC3)を授ける保護のマント。",,
Message,"Cloak that renders wearer completely invisible.","着用者を完全に透明化させる透明マント。",,
Message,"Rare cloak granting Magic Resistance to body.","身体に魔法耐性を与える貴重な魔除けのマント。",,
Message,"Cloak projecting false images to confuse enemy melee attacks.","残像を投影して敵の近接攻撃を幻惑・錯乱させる幻影のマント。",,
Message,"Polished silver shield reflecting death zaps and petrifying gazes.","死の光線やメデューサの石化視線を跳ね返す研磨された銀の盾。",,
Message,"Essential gloves for handling petrifying cockatrice corpses safely.","コカトリスの死体を素手で触れて石化するのを防ぐ必須の革手袋。",,
Message,"Heavy gauntlets boosting Strength to 18/100 instantly.","腕力（Strength）を即座に 18/100（最大値）まで引き上げるパワーガントレット。",,
Message,"Gloves boosting Dexterity and dual-wielding accuracy.","器用さ（Dexterity）と二刀流の命中率を高める手袋。",,
Message,"Boots granting Very Fast movement speed to outrun lethal threats.","致命的な脅威から即座に逃走できる超高速移動（Very Fast）を付与するスピードブーツ。",,
Message,"Boots allowing wearer to walk across deep water.","深い水面の上を陸地のように歩行できる水上歩行の靴。",,
Message,"Boots enabling continuous levitation over pits and lava.","落とし穴や溶岩の上を安全に浮遊移動できる浮遊の靴。",,

Message,"Enables continuous levitation to bypass pits, land mines, water, and lava.","落とし穴、地雷、水地帯、溶岩を通過できる連続浮遊効果。",,
Message,"Sows chaos in monster packs, causing enemy numbers to attack each other.","モンスターの群れに混乱を撒き散らし、敵同士で同士討ちを発生させる。",,
Message,"Grants total immunity to poisonous attacks and tainted food.","毒攻撃や腐敗した毒肉に対する完全な免疫を付与する。",,
Message,"Renders wearer completely immune to paralysis and freeze effects.","金縛りや麻痺、フリーズ状態異常を完全に無効化する。",,
Message,"Halves hunger rate, solving food shortages.","空腹度の減る速度を半減させ、食料不足を解消する。",,
Message,"Grants full mastery over teleportation destinations.","テレポートの跳び先目的地を100%制御・指定できるようになる。",,
Message,"Renders wearer invisible to monsters without see-invisible.","可視能力を持たないモンスターから完全に姿を消す。",,

Message,"Reveals location of all mind-bearing monsters on screen.","画面上の精神を持つ全モンスターの位置を即座に透視・察知する。",,
Message,"A divine safety net that restores life once upon fatal death.","死亡時に一度だけ命を蘇生・全回復させる奇跡の護符。",,
Message,"Reflects rays, zaps, and petrifying gazes back at attackers.","死の光線、魔法のビーム、石化視線を攻撃者へ跳ね返す。",,

Message,"Waterproof bag protecting internal contents even when submerged.","水没しても中のアイテムが一切濡れない防水の袋。",,
Message,"Magical bag reducing weight of internal contents by 50%. Do NOT insert Bag of Tricks or Magic Lamp!","収納アイテムの重量を 50% に軽減する魔法の袋（保持の袋）。※手品袋や魔法のランプを入れると大爆発するので注意！",,
Message,"Rubbing this lamp brings forth a Djinn to grant a wish.","擦ることで魔神（Djinn）が召喚され、願い（Wish）を叶えてくれる魔法のランプ。",,
Message,"Essential mirror used to reflect Medusa's petrifying gaze back at her.","メデューサの石化視線を跳ね返して即死させるための必須の鏡。",,
Message,"Blocks vision to protect against gaze attacks and paralyzing eyes.","視界を遮ることで、フローティングアイやメデューサの視線攻撃を完全に防ぐ。",,
Message,"Magical marker used to write scrolls and spellbooks.","白紙の巻物や魔法書に任意の呪文を書き込める魔法のマジック。",,
Message,"Instantly teleports your pets to your side from anywhere on floor.","フロアのどこからでもペットを一瞬で自分の隣へテレポートさせる魔法の笛。",,
Message,"The Swiss Army knife of survival (#apply). Instantly cures poison, illness, blindness, and stat drain.","生存のための万能ツール（#apply）。毒、病気、失明、能力ドレインを100%即座に治癒する。",,

Message,"iron","鉄",,
Message,"wood","木",,
Message,"silver","銀",,
Message,"leather","革",,
Message,"mithril","ミスリル",,
Message,"bamboo","竹",,
Message,"dragon scale","ドラゴンスケール",,
Message,"cloth","布",,
Message,"crystal","水晶",,
Message,"rubber","ゴム",,
Message,"metal","金属",,
Message,"organ","器官",,

Message,"Petrifies instantly if touched or eaten without gloves!","手袋なしで触ったり食べたりすると一瞬で石化します！",,
Message,"Engrave Elbereth to keep away","離れるためにエルベレスを刻む",,
Message,"Use ranged attacks or polearms","遠距離攻撃や長柄武器を使用する",,
Message,"Wear leather gloves before wielding or picking up corpse","死体を持ち上げたり武器として振る前に革の手袋を着用する",,
Message,"Do not attack in melee without blindfold/towel","目隠しやタオルなしで近接攻撃をしないでください",,
Message,"Use ranged weapons, throwing rocks, or attack from distance","遠距離武器や投石で離れた場所から攻撃してください",,
Message,"Corpse grants Telepathy (ESP) when eaten","死体を食べるとテレパシー(ESP)を獲得できます",,
Message,"Very fast and attacks in swarms","非常に素早く群れで攻撃してきます",,
Message,"Poison resistance required early on","序盤から毒耐性が必須です",,
Message,"Extremely fast and deals lethal poison damage early game","序盤において非常に足が速く致命的な毒ダメージを与えてきます",,
Message,"Use Elbereth immediately or bottleneck in a doorway","直ちにエルベレスを刻むか、扉の通路に誘い込んで1対1で戦ってください",,
Message,"Corpse may grant poison resistance when eaten","死体を食べると毒耐性を獲得できる場合があります",,
Message,"Deals fire damage on hit","攻撃時に火炎ダメージを与えてきます",,
Message,"Fire resistance grants protection","火炎耐性でダメージを防げます",,
Message,"Do not attack with bare hands or teeth","素手や噛みつきで攻撃しないでください",,
Message,"Corpse is inedible due to acid","酸性のため死体は食べられません",,
Message,"Corpse causes severe acid burns if eaten!","死体を食べると激しい酸性やけどを負います！",,
Message,"Paralyzes player on touch and digests items on floor","接触によりプレイヤーを麻痺させ、床のアイテムを消化します",,
Message,"Use ranged attacks or free action","遠距離攻撃か自由行動(Free Action)を使用してください",,
Message,"Corpse grants multiple elemental resistances when eaten","死体を食べると複数の属性耐性を獲得できます",,
Message,"Young cockatrice. Gaze and touch cause petrification.","若いコカトリス。視線や接触で石化を引き起こします。",,
Message,"Wear leather gloves before handling corpse","死体を扱う前に革の手袋を着用してください",,
Message,"Weak early-game monster","序盤の弱いモンスター",,
Message,"Appears in packs","群れで出現します",,
Message,"Explodes violently when hit in melee, dealing massive radius damage","近接攻撃を受けると激しく爆発し、周囲に大ダメージを与えます",,
Message,"Always kill from a distance using ranged weapons or wands","必ず遠距離武器や魔法の杖を使って離れて倒してください",,
Message,"Eats intelligence permanently upon tentacle hit","触手攻撃を受けると知能(Int)を永久に吸い取られます",,
Message,"Always wear grease-coated helmet or blindfold/towel","脂を塗ったヘルメットや目隠し/タオルを必ず着用してください",,
Message,"Eliminate at long distance using Wand of Death or Elbereth","死の杖やエルベレスを使って遠距離から速やかに撃破してください",,
Message,"Extremely dangerous brain eater","非常に危険な脳喰らいモンスター",,
Message,"Has psychic blast attacks","サイキックブラスト攻撃を放ちます",,
Message,"Use genocide or instant death wands","絶滅の巻物(Genocide)や即死系の杖を使用してください",,
Message,"Disguises as items/doors. Sticks to player on contact.","アイテムや扉に擬態します。接触するとプレイヤーに張り付きます。",,
Message,"Disguises as shop items. Strong adhesive bite.","店の売り物に擬態します。強力な粘着咬合を持ちます。",,
Message,"Disguises as chests/doors. Heavy physical damage.","宝箱や扉に擬態します。重い物理ダメージを与えます。",,
Message,"Steals inventory items and teleports away.","所持品を盗んで持ち去り、テレポートで逃走します。",,
Message,"Steals inventory items in water. Mirror/blindfold helps.","水中で所持品を盗みます。鏡や目隠しが有効です。",,
Message,"Steals inventory items. Use ranged weapons before she closes in.","所持品を盗みます。接近される前に遠距離武器で攻撃してください。",,
Message,"Slow humanoid","足の遅い人型モンスター",,
Message,"May carry weapons or daggers","武器や短剣を所持している場合があります",,
Message,"Basic enemy","基本エネミー",,
Message,"Corpse grants poison resistance","死体を食べると毒耐性を獲得できます",,
Message,"Stronger orc warrior carrying heavy weapons","重武器を所持した強力なオークの戦士",,
Message,"Very fast and deals heavy physical damage","動きが非常に素早く、重い物理ダメージを与えます",,
Message,"Massive HP and destructive physical damage","巨大な体力と圧倒的な物理破壊力を誇ります",,
Message,"Keep distance or tame","距離を保つか、テイムして味方にしてください",,
Message,"Transmits lycanthropy infection","獣人病(ライカンスロープ)を感染させてきます",,
Message,"Use silver weapon or eat wolfsbane","銀の武器で攻撃するか、トリカブト(Wolfsbane)を食べて治療してください",,
Message,"Can swallow player whole","プレイヤーを丸呑みにすることができます",,
Message,"Keep Wand of Digging or sharp blade ready if swallowed","呑み込まれた場合に備え、掘削の杖や鋭利な刃物を準備してください",,
Message,"Moves only in cardinal directions (cannot move diagonally)","前後左右の直線方向にしか移動できません（斜め移動不可）",,
Message,"Fires magic missile breath. Corpse grants Magic Resistance!","マジックミサイルのブレスを放ちます。死体を食べると魔法抵抗を獲得できます！",,
Message,"Gold dragon. Highly aggressive.","ゴールドドラゴン。非常に攻撃的です。",,
Message,"Silver dragon breath cold. Corpse grants Reflection!","シルバードラゴン。冷気ブレスを放ち、死体を食べると反射(Reflection)を獲得できます！",,
Message,"Fires devastating fire breath","壊滅的な火炎ブレスを吐き出します",,
Message,"Fire resistance or reflection required","火炎耐性または反射の能力が必須です",,
Message,"Fires cold breath that freezes potions. Cold resistance required.","所持品の薬を凍らせる冷気ブレスを吐きます。冷気耐性が必要です。",,
Message,"Orange dragon sleep breath. Sleep resistance required.","オレンジドラゴン。睡眠ブレスを吐きます。睡眠耐性が必要です。",,
Message,"Disintegration breath destroys gear and kills player instantly","分解ブレスは装備を破壊し、プレイヤーを即死させます",,
Message,"Reflection or disintegration resistance mandatory","反射または分解耐性が絶対必須です",,
Message,"Blue dragon shock breath. Destroys wands in inventory.","ブルードラゴン。電撃ブレスを吐き、所持品の杖を破壊します。",,
Message,"Green dragon poisonous breath. Poison resistance required.","グリーンドラゴン。毒ブレスを吐きます。毒耐性が必要です。",,
Message,"Yellow dragon acid breath. Destroys armor.","イエロードラゴン。酸ブレスを吐き、防具を溶かして破壊します。",,
Message,"Immobile mold. Deals cold damage on melee hit.","移動しないカビ。近接攻撃を受けると冷気ダメージを与えてきます。",,
Message,"Immobile mold releasing poison spores on melee hit.","移動しないカビ。近接攻撃を受けると毒胞子を撒き散らします。",,
Message,"Extremely powerful melee attacker in mazes. Use Wand of Death/Digging.","迷宮における超強力な近接攻撃者。死の杖や掘削の杖を活用してください。",,
Message,"Devastating decapitation/slashing damage. Vorpal blade or Elbereth needed.","致命的な首チョンパ・切断ダメージ。ヴォーパルブレードやエルベレスが必要です。",,
Message,"High magic resistance, summons undead and casts dangerous spells","高い魔法抵抗を持ち、アンデッドを召喚して危険な呪文を唱えます",,
Message,"Fire attacks are highly effective","火炎属性の攻撃が非常に効果的です",,
Message,"Engrave Elbereth or use potion/wand of fire","エルベレスを刻むか、火炎の薬/杖を使用してください",,
Message,"Casts high-level clerical/wizardry spells and summons demons. Fire weapon needed.","高レベルの僧侶・魔術師呪文を唱え、悪魔を召喚します。火炎武器が必要です。",,
Message,"Top-tier undead caster","最高峰のアンデッド詠唱者",,
Message,"Requires reflection and high magic resistance","反射と高い魔法抵抗が必須です",,
Message,"Turns player into green slime on contact!","接触するとプレイヤーをグリーンスライムに変えてしまいます！",,
Message,"Turns player into slime on touch! Fire or cure sickness stops transformation.","タッチでスライム化！火炎攻撃を受けるか病気治療で変化を阻止できます。",,
Message,"Rusts and corrodes iron weapons and armor","鉄製の武器や防具を錆びさせ、腐食させます",,
Message,"Use leather/wooden/crystal gear or fight unarmed","革・木・結晶製の装備を使用するか、素手で戦ってください",,
Message,"Disenchants wielded weapons and worn armor upon attack","攻撃を受けると装備中の武器や防具の強化値を低下(解呪)させます",,
Message,"Fight unarmed, with unenchanted weapons, or throw weapons from distance","素手か未強化の武器で戦うか、遠距離から投擲してください",,
Message,"Regenerates HP and revives after death unless corpse is eaten, burned, or tinning.","体力を再生し、死体を食べるか焼くか缶詰にしない限り復活します。",,
Message,"Ice troll. Revives upon death. Use fire or eat corpse.","アイストロール。死亡しても復活します。火炎で攻撃するか死体を食べてください。",,
Message,"Gaze causes severe confusion. Blindfold/towel recommended.","視線により激しい混乱を引き起こします。目隠しやタオルの着用を推奨します。",,
Message,"Drains experience level","プレイヤーの経験値レベルを吸収(ドレイン)して下げてきます",,
Message,"Use garlic or Elbereth","ニンニクやエルベレスを使用してください",,
Message,"Vlad the Impaler. Unique vampire lord in Gehennom carrying Candelabrum of Invocation.","串刺し公ヴラド。召喚の燭台(Candelabrum)を所持するゲヘノムのユニーク・ヴァンパイアロード。",,
Message,"Drains experience level on touch. Eating corpse grants 1 free level up!","接触でレベルをドレインします。死体を食べると経験値レベルが1上がります！",,
Message,"Paralyzes player on touch. Keep distance.","接触するとプレイヤーを麻痺させます。距離を保ってください。",,
Message,"Fires lethal poisonous gas breath. Heals when hit by fire.","致命的な毒ガスブレスを吐きます。火炎攻撃を受けると回復します。",,
Message,"Extremely dangerous and fast, equipped with shotgun-like wand charges","非常に高速かつ危険で、散弾銃のような杖のチャージ攻撃を放ちます",,
Message,"Never attack or steal unless fully prepared with reflection/Wand of Death","反射や死の杖などの準備が万全でない限り、攻撃や盗みは厳禁です",,
Message,"Gaze petrifies instantly","視線を受けると即座に石化します",,
Message,"Use a mirror to reflect her gaze, or wear blindfold/towel","鏡を使って視線を反射させるか、目隠し/タオルを着用してください",,
Message,"Main antagonist. Steals Amulet of Yendor, steals life, curses inventory, and resuscitates after death.","最大の宿敵。イェンダーの魔除けや生命力を奪い、所持品を呪い、倒しても甦ります。",,
Message,"Rider of Death. Touch causes instant death unless player has Magic Resistance / Death immunity.","死の騎士(Death)。魔法抵抗や即死耐性がない限り、タッチで即死します。",,
Message,"Rider of Pestilence. Touch causes fatal sickness. Cure Sickness or Eucalyptus leaf required.","疫病の騎士(Pestilence)。タッチで致命的な病気にかかります。病気治療やユーカリの葉が必要です。",,
Message,"Rider of Famine. Touch causes severe hunger and fainting. Food or Wand of Digging needed.","飢饉の騎士(Famine)。タッチで激しい飢餓と気絶を引き起こします。食料や掘削の杖が必要です。",,
Message,"Grabs player into water to drown instantly. Teleport or zap with magic wand immediately.","プレイヤーを水中に引きずり込み即座に溺死させます。即座にテレポートするか魔法の杖を使って逃げてください。",,
Message,"Giant sea beast drowning players. Never enter deep water without levitation/water walking.","プレイヤーを溺死させる巨大水棲怪獣。浮遊や水上歩行なしで深水域に入ってはいけません。",,
