"3.7.0_Index","5.0.0_Index","Name_3.7.0","Name_5.0.0"
"80","160","monster: rock piercer","rock piercer / male rock piercer"
"81","162","monster: iron piercer","iron piercer / male iron piercer"
"82","164","monster: glass piercer","glass piercer / male glass piercer"
"83","166","monster: rothe","rothe / male rothe"
"84","168","monster: mumak","mumak / male mumak"
"85","170","monster: leocrotta","leocrotta / male leocrotta"
"86","172","monster: wumpus","wumpus / male wumpus"
"87","174","monster: titanothere","titanothere / male titanothere"
"88","176","monster: baluchitherium","baluchitherium / male baluchitherium"
"89","178","monster: mastodon","mastodon / male mastodon"
"90","180","monster: sewer rat","sewer rat / male sewer rat"
"91","182","monster: giant rat","giant rat / male giant rat"
"92","184","monster: rabid rat","rabid rat / male rabid rat"
"93","186","monster: wererat","wererat / male wererat"
"94","188","monster: rock mole","rock mole / male rock mole"
"95","190","monster: woodchuck","woodchuck / male woodchuck"
"96","192","monster: cave spider","cave spider / male cave spider"
"97","194","monster: centipede","centipede / male centipede"
"98","196","monster: giant spider","giant spider / male giant spider"
"99","198","monster: scorpion","scorpion / male scorpion"
"100","200","monster: lurker above","lurker above / male lurker above"
"101","202","monster: trapper","trapper / male trapper"
"102","204","monster: pony","pony / male pony"
"103","206","monster: white unicorn","white unicorn / male white unicorn"
"104","208","monster: gray unicorn","gray unicorn / male gray unicorn"
"105","210","monster: black unicorn","black unicorn / male black unicorn"
"106","212","monster: horse","horse / male horse"
"107","214","monster: warhorse","warhorse / male warhorse"
"108","216","monster: fog cloud","fog cloud / male fog cloud"
"109","218","monster: dust vortex","dust vortex / male dust vortex"
"110","220","monster: ice vortex","ice vortex / male ice vortex"
"111","222","monster: energy vortex","energy vortex / male energy vortex"
"112","224","monster: steam vortex","steam vortex / male steam vortex"
"113","226","monster: fire vortex","fire vortex / male fire vortex"
"114","228","monster: baby long worm","baby long worm / male baby long worm"
"115","230","monster: baby purple worm","baby purple worm / male baby purple worm"
"116","232","monster: long worm","long worm / male long worm"
"117","234","monster: purple worm","purple worm / male purple worm"
"118","236","monster: grid bug","grid bug / male grid bug"
"119","238","monster: xan","xan / male xan"
"120","240","monster: yellow light","yellow light / male yellow light"
"121","242","monster: black light","black light / male black light"
"122","244","monster: zruty","zruty / male zruty"
"123","246","monster: couatl","couatl / male couatl"
"124","248","monster: Aleax","Aleax / male Aleax"
"125","250","monster: Angel","Angel / male Angel"
"126","252","monster: ki-rin","ki-rin / male ki-rin"
"127","254","monster: Archon","Archon / male Archon"
"128","256","monster: bat","bat / male bat"
"129","258","monster: giant bat","giant bat / male giant bat"
"130","260","monster: raven","raven / male raven"
"131","262","monster: vampire bat","vampire bat / male vampire bat"
"132","264","monster: plains centaur","plains centaur / male plains centaur"
"133","266","monster: forest centaur","forest centaur / male forest centaur"
"134","268","monster: mountain centaur","mountain centaur / male mountain centaur"
"135","270","monster: baby gray dragon","baby gray dragon / male baby gray dragon"
"136","272","monster: baby gold dragon","baby gold dragon / male baby gold dragon"
"137","274","monster: baby silver dragon","baby silver dragon / male baby silver dragon"
"138","","monster_cond: baby shimmering dragon",""
"139","278","monster: baby red dragon","baby red dragon / male baby red dragon"
"140","280","monster: baby white dragon","baby white dragon / male baby white dragon"
"141","282","monster: baby orange dragon","baby orange dragon / male baby orange dragon"
"142","284","monster: baby black dragon","baby black dragon / male baby black dragon"
"143","286","monster: baby blue dragon","baby blue dragon / male baby blue dragon"
"144","288","monster: baby green dragon","baby green dragon / male baby green dragon"
"145","290","monster: baby yellow dragon","baby yellow dragon / male baby yellow dragon"
"146","292","monster: gray dragon","gray dragon / male gray dragon"
"147","294","monster: gold dragon","gold dragon / male gold dragon"
"148","296","monster: silver dragon","silver dragon / male silver dragon"
"149","","monster_cond: shimmering dragon",""
"150","300","monster: red dragon","red dragon / male red dragon"
"151","302","monster: white dragon","white dragon / male white dragon"
"152","304","monster: orange dragon","orange dragon / male orange dragon"
"153","306","monster: black dragon","black dragon / male black dragon"
"154","308","monster: blue dragon","blue dragon / male blue dragon"
"155","310","monster: green dragon","green dragon / male green dragon"
"156","312","monster: yellow dragon","yellow dragon / male yellow dragon"
"157","314","monster: stalker","stalker / male stalker"
"158","316","monster: air elemental","air elemental / male air elemental"
"159","318","monster: fire elemental","fire elemental / male fire elemental"
"160","320","monster: earth elemental","earth elemental / male earth elemental"
"161","322","monster: water elemental","water elemental / male water elemental"
"162","324","monster: lichen","lichen / male lichen"
"163","326","monster: brown mold","brown mold / male brown mold"
"164","328","monster: yellow mold","yellow mold / male yellow mold"
"165","330","monster: green mold","green mold / male green mold"
"166","332","monster: red mold","red mold / male red mold"
"167","334","monster: shrieker","shrieker / male shrieker"
"168","336","monster: violet fungus","violet fungus / male violet fungus"
"169","338","monster: gnome","gnome / male gnome"
"170","","monster: gnome leader {gnome lord}",""
"171","342","monster: gnomish wizard","gnomish wizard / male gnomish wizard"
"172","","monster: gnome ruler {gnome king}",""
"173","346","monster: giant","giant / male giant"
"174","348","monster: stone giant","stone giant / male stone giant"
"175","350","monster: hill giant","hill giant / male hill giant"
"176","352","monster: fire giant","fire giant / male fire giant"
"177","354","monster: frost giant","frost giant / male frost giant"
"178","356","monster: ettin","ettin / male ettin"
"179","358","monster: storm giant","storm giant / male storm giant"
"180","360","monster: titan","titan / male titan"
"181","362","monster: minotaur","minotaur / male minotaur"
"182","364","monster: jabberwock","jabberwock / male jabberwock"
"183","","monster_cond: vorpal jabberwock",""
"184","368","monster: Keystone Kop","Keystone Kop / male Keystone Kop"
"185","370","monster: Kop Sergeant","Kop Sergeant / male Kop Sergeant"
"186","372","monster: Kop Lieutenant","Kop Lieutenant / male Kop Lieutenant"
"187","374","monster: Kop Kaptain","Kop Kaptain / male Kop Kaptain"
"188","376","monster: lich","lich / male lich"
"189","378","monster: demilich","demilich / male demilich"
"190","380","monster: master lich","master lich / male master lich"
"191","382","monster: arch-lich","arch-lich / male arch-lich"
"192","384","monster: kobold mummy","kobold mummy / male kobold mummy"
"193","386","monster: gnome mummy","gnome mummy / male gnome mummy"
"194","388","monster: orc mummy","orc mummy / male orc mummy"
"195","390","monster: dwarf mummy","dwarf mummy / male dwarf mummy"
"196","392","monster: elf mummy","elf mummy / male elf mummy"
"197","394","monster: human mummy","human mummy / male human mummy"
"198","396","monster: ettin mummy","ettin mummy / male ettin mummy"
"199","398","monster: giant mummy","giant mummy / male giant mummy"
"200","400","monster: red naga hatchling","red naga hatchling / male red naga hatchling"
"201","402","monster: black naga hatchling","black naga hatchling / male black naga hatchling"
"202","404","monster: golden naga hatchling","golden naga hatchling / male golden naga hatchling"
"203","406","monster: guardian naga hatchling","guardian naga hatchling / male guardian naga hatchling"
"204","408","monster: red naga","red naga / male red naga"
"205","410","monster: black naga","black naga / male black naga"
"206","412","monster: golden naga","golden naga / male golden naga"
"207","414","monster: guardian naga","guardian naga / male guardian naga"
"208","416","monster: ogre","ogre / male ogre"
"209","","monster: ogre leader {ogre lord}",""
"210","","monster: ogre tyrant {ogre king}",""
"211","422","monster: gray ooze","gray ooze / male gray ooze"
"212","424","monster: brown pudding","brown pudding / male brown pudding"
"213","426","monster: green slime","green slime / male green slime"
"214","428","monster: black pudding","black pudding / male black pudding"
"215","430","monster: quantum mechanic","quantum mechanic / male quantum mechanic"
"216","432","monster: genetic engineer","genetic engineer / male genetic engineer"
"217","434","monster: rust monster","rust monster / male rust monster"
"218","436","monster: disenchanter","disenchanter / male disenchanter"
"219","438","monster: garter snake","garter snake / male garter snake"
"220","440","monster: snake","snake / male snake"
"221","442","monster: water moccasin","water moccasin / male water moccasin"
"222","444","monster: python","python / male python"
"223","446","monster: pit viper","pit viper / male pit viper"
"224","448","monster: cobra","cobra / male cobra"
"225","450","monster: troll","troll / male troll"
"226","452","monster: ice troll","ice troll / male ice troll"
"227","454","monster: rock troll","rock troll / male rock troll"
"228","456","monster: water troll","water troll / male water troll"
"229","458","monster: Olog-hai","Olog-hai / male Olog-hai"
"230","460","monster: umber hulk","umber hulk / male umber hulk"
"231","462","monster: vampire","vampire / male vampire"
"232","","monster: vampire leader {vampire lord}",""
"233","","monster_cond: vampire mage",""
"234","468","monster: Vlad the Impaler","Vlad the Impaler / male Vlad the Impaler"
"235","470","monster: barrow wight","barrow wight / male barrow wight"
"236","472","monster: wraith","wraith / male wraith"
"237","474","monster: Nazgul","Nazgul / male Nazgul"
"238","476","monster: xorn","xorn / male xorn"
"239","478","monster: monkey","monkey / male monkey"
"240","480","monster: ape","ape / male ape"
"241","482","monster: owlbear","owlbear / male owlbear"
"242","484","monster: yeti","yeti / male yeti"
"243","486","monster: carnivorous ape","carnivorous ape / male carnivorous ape"
"244","488","monster: sasquatch","sasquatch / male sasquatch"
"245","490","monster: kobold zombie","kobold zombie / male kobold zombie"
"246","492","monster: gnome zombie","gnome zombie / male gnome zombie"
"247","494","monster: orc zombie","orc zombie / male orc zombie"
"248","496","monster: dwarf zombie","dwarf zombie / male dwarf zombie"
"249","498","monster: elf zombie","elf zombie / male elf zombie"
"250","500","monster: human zombie","human zombie / male human zombie"
"251","502","monster: ettin zombie","ettin zombie / male ettin zombie"
"252","504","monster: ghoul","ghoul / male ghoul"
"253","506","monster: giant zombie","giant zombie / male giant zombie"
"254","508","monster: skeleton","skeleton / male skeleton"
"255","510","monster: straw golem","straw golem / male straw golem"
"256","512","monster: paper golem","paper golem / male paper golem"
"257","514","monster: rope golem","rope golem / male rope golem"
"258","516","monster: gold golem","gold golem / male gold golem"
"259","518","monster: leather golem","leather golem / male leather golem"
"260","520","monster: wood golem","wood golem / male wood golem"
"261","522","monster: flesh golem","flesh golem / male flesh golem"
"262","524","monster: clay golem","clay golem / male clay golem"
"263","526","monster: stone golem","stone golem / male stone golem"
"264","528","monster: glass golem","glass golem / male glass golem"
"265","530","monster: iron golem","iron golem / male iron golem"
"266","532","monster: human","human / male human"
"267","186","monster: wererat","wererat / male wererat"
"268","30","monster: werejackal","werejackal / male werejackal"
"269","42","monster: werewolf","werewolf / male werewolf"
"270","540","monster: elf","elf / male elf"
"271","542","monster: Woodland-elf","Woodland-elf / male Woodland-elf"
"272","544","monster: Green-elf","Green-elf / male Green-elf"
"273","546","monster: Grey-elf","Grey-elf / male Grey-elf"
"274","","monster: elf-noble {elf-lord}",""
"275","","monster: elven monarch {Elvenking}",""
"276","552","monster: doppelganger","doppelganger / male doppelganger"
"277","554","monster: shopkeeper","shopkeeper / male shopkeeper"
"278","556","monster: guard","guard / male guard"
"279","558","monster: prisoner","prisoner / male prisoner"
"280","560","monster: Oracle","Oracle / male Oracle"
"281","","monster: aligned cleric {priest}",""
"282","","monster: high cleric {high priest}",""
"283","566","monster: soldier","soldier / male soldier"
"284","568","monster: sergeant","sergeant / male sergeant"
"285","570","monster: nurse","nurse / male nurse"
"286","572","monster: lieutenant","lieutenant / male lieutenant"
"287","574","monster: captain","captain / male captain"
"288","576","monster: watchman","watchman / male watchman"
"289","578","monster: watch captain","watch captain / male watch captain"
"290","580","monster: Medusa","Medusa / male Medusa"
"291","582","monster: Wizard of Yendor","Wizard of Yendor / male Wizard of Yendor"
"292","584","monster: Croesus","Croesus / male Croesus"
"293","","monster_cond: Charon",""
"294","588","monster: ghost","ghost / male ghost"
"295","590","monster: shade","shade / male shade"
"296","592","monster: water demon","water demon / male water demon"
"297","","monster: amorous demon {incubus}",""
"298","596","monster: horned devil","horned devil / male horned devil"
"299","598","monster: erinys","erinys / male erinys"
"300","600","monster: barbed devil","barbed devil / male barbed devil"
"301","602","monster: marilith","marilith / male marilith"
"302","604","monster: vrock","vrock / male vrock"
"303","606","monster: hezrou","hezrou / male hezrou"
"304","608","monster: bone devil","bone devil / male bone devil"
"305","610","monster: ice devil","ice devil / male ice devil"
"306","612","monster: nalfeshnee","nalfeshnee / male nalfeshnee"
"307","614","monster: pit fiend","pit fiend / male pit fiend"
"308","616","monster: sandestin","sandestin / male sandestin"
"309","618","monster: balrog","balrog / male balrog"
"310","620","monster: Juiblex","Juiblex / male Juiblex"
"311","622","monster: Yeenoghu","Yeenoghu / male Yeenoghu"
"312","624","monster: Orcus","Orcus / male Orcus"
"313","626","monster: Geryon","Geryon / male Geryon"
"314","628","monster: Dispater","Dispater / male Dispater"
"315","630","monster: Baalzebub","Baalzebub / male Baalzebub"
"316","632","monster: Asmodeus","Asmodeus / male Asmodeus"
"317","634","monster: Demogorgon","Demogorgon / male Demogorgon"
"318","636","monster: Death","Death / male Death"
"319","638","monster: Pestilence","Pestilence / male Pestilence"
"320","640","monster: Famine","Famine / male Famine"
"321","642","monster: mail daemon","mail daemon / male mail daemon"
"322","644","monster: djinni","djinni / male djinni"
"323","646","monster: jellyfish","jellyfish / male jellyfish"
"324","648","monster: piranha","piranha / male piranha"
"325","650","monster: shark","shark / male shark"
"326","652","monster: giant eel","giant eel / male giant eel"
"327","654","monster: electric eel","electric eel / male electric eel"
"328","656","monster: kraken","kraken / male kraken"
"329","658","monster: newt","newt / male newt"
"330","660","monster: gecko","gecko / male gecko"
"331","662","monster: iguana","iguana / male iguana"
"332","664","monster: baby crocodile","baby crocodile / male baby crocodile"
"333","666","monster: lizard","lizard / male lizard"
"334","668","monster: chameleon","chameleon / male chameleon"
"335","670","monster: crocodile","crocodile / male crocodile"
"336","672","monster: salamander","salamander / male salamander"
"337","674","monster: long worm tail","long worm tail / male long worm tail"
"338","676","monster: archeologist","archeologist / male archeologist"
"339","678","monster: barbarian","barbarian / male barbarian"
"340","","monster: cave dweller {caveman}",""
"341","682","monster: healer","healer / male healer"
"342","684","monster: knight","knight / male knight"
"343","686","monster: monk","monk / male monk"
"344","","monster: cleric {priest}",""
"345","690","monster: ranger","ranger / male ranger"
"346","692","monster: rogue","rogue / male rogue"
"347","694","monster: samurai","samurai / male samurai"
"348","696","monster: tourist","tourist / male tourist"
"349","698","monster: valkyrie","valkyrie / male valkyrie"
"350","700","monster: wizard","wizard / male wizard"
"351","702","monster: Lord Carnarvon","Lord Carnarvon / male Lord Carnarvon"
"352","704","monster: Pelias","Pelias / male Pelias"
"353","706","monster: Shaman Karnov","Shaman Karnov / male Shaman Karnov"
"354","","monster_cond: Earendil",""
"355","","monster_cond: Earendil",""
"356","712","monster: Hippocrates","Hippocrates / male Hippocrates"
"357","714","monster: King Arthur","King Arthur / male King Arthur"
"358","716","monster: Grand Master","Grand Master / male Grand Master"
"359","718","monster: Arch Priest","Arch Priest / male Arch Priest"
"360","720","monster: Orion","Orion / male Orion"
"361","722","monster: Master of Thieves","Master of Thieves / male Master of Thieves"
"362","724","monster: Lord Sato","Lord Sato / male Lord Sato"
"363","726","monster: Twoflower","Twoflower / male Twoflower"
"364","728","monster: Norn","Norn / male Norn"
"365","730","monster: Neferet the Green","Neferet the Green / male Neferet the Green"
"366","732","monster: Minion of Huhetotl","Minion of Huhetotl / male Minion of Huhetotl"
"367","734","monster: Thoth Amon","Thoth Amon / male Thoth Amon"
"368","736","monster: Chromatic Dragon","Chromatic Dragon / male Chromatic Dragon"
"369","","monster_cond: Goblin King",""
"370","740","monster: Cyclops","Cyclops / male Cyclops"
"371","742","monster: Ixoth","Ixoth / male Ixoth"
"372","744","monster: Master Kaen","Master Kaen / male Master Kaen"
"373","746","monster: Nalzok","Nalzok / male Nalzok"
"374","748","monster: Scorpius","Scorpius / male Scorpius"
"375","750","monster: Master Assassin","Master Assassin / male Master Assassin"
"376","752","monster: Ashikaga Takauji","Ashikaga Takauji / male Ashikaga Takauji"
"377","754","monster: Lord Surtur","Lord Surtur / male Lord Surtur"
"378","756","monster: Dark One","Dark One / male Dark One"
"379","758","monster: student","student / male student"
"380","760","monster: chieftain","chieftain / male chieftain"
"381","762","monster: neanderthal","neanderthal / male neanderthal"
"382","","monster_cond: High-elf",""
"383","766","monster: attendant","attendant / male attendant"
"384","768","monster: page","page / male page"
"385","770","monster: abbot","abbot / male abbot"
"386","772","monster: acolyte","acolyte / male acolyte"
"387","774","monster: hunter","hunter / male hunter"
"388","776","monster: thug","thug / male thug"
"389","778","monster: ninja","ninja / male ninja"
"390","780","monster: roshi","roshi / male roshi"
"391","782","monster: guide","guide / male guide"
"392","784","monster: warrior","warrior / male warrior"
"393","1056","monster: apprentice","giant ant / killer bee / soldier ant / fire ant / giant beetle / queen bee / acid blob / quivering blob / gelatinous cube / chickatrice / cockatrice / pyrolisk / jackal / fox / coyote / werejackal / little dog / dingo / dog / large dog / wolf / werewolf / winter wolf cub / warg / winter wolf / hell hound pup / hell hound / gas spore / floating eye / freezing sphere / flaming sphere / shocking sphere / kitten / housecat / jaguar / lynx / panther / large cat / tiger / displacer beast / gremlin / gargoyle / winged gargoyle / hobbit / dwarf / bugbear / dwarf leader / dwarf ruler / mind flayer / master mind flayer / manes / homunculus / imp / lemure / quasit / tengu / blue jelly / spotted jelly / ochre jelly / kobold / large kobold / kobold leader / kobold shaman / leprechaun / small mimic / large mimic / giant mimic / wood nymph / water nymph / mountain nymph / goblin / hobgoblin / orc / hill orc / Mordor orc / Uruk-hai / orc shaman / orc-captain / rock piercer / iron piercer / glass piercer / rothe / mumak / leocrotta / wumpus / titanothere / baluchitherium / mastodon / sewer rat / giant rat / rabid rat / wererat / rock mole / woodchuck / cave spider / centipede / giant spider / scorpion / lurker above / trapper / pony / white unicorn / gray unicorn / black unicorn / horse / warhorse / fog cloud / dust vortex / ice vortex / energy vortex / steam vortex / fire vortex / baby long worm / baby purple worm / long worm / purple worm / grid bug / xan / yellow light / black light / zruty / couatl / Aleax / Angel / ki-rin / Archon / bat / giant bat / raven / vampire bat / plains centaur / forest centaur / mountain centaur / baby gray dragon / baby gold dragon / baby silver dragon / baby red dragon / baby white dragon / baby orange dragon / baby black dragon / baby blue dragon / baby green dragon / baby yellow dragon / gray dragon / gold dragon / silver dragon / red dragon / white dragon / orange dragon / black dragon / blue dragon / green dragon / yellow dragon / stalker / air elemental / fire elemental / earth elemental / water elemental / lichen / brown mold / yellow mold / green mold / red mold / shrieker / violet fungus / gnome / gnome leader / gnomish wizard / gnome ruler / giant / stone giant / hill giant / fire giant / frost giant / ettin / storm giant / titan / minotaur / jabberwock / Keystone Kop / Kop Sergeant / Kop Lieutenant / Kop Kaptain / lich / demilich / master lich / arch-lich / kobold mummy / gnome mummy / orc mummy / dwarf mummy / elf mummy / human mummy / ettin mummy / giant mummy / red naga hatchling / black naga hatchling / golden naga hatchling / guardian naga hatchling / red naga / black naga / golden naga / guardian naga / ogre / ogre leader / ogre tyrant / gray ooze / brown pudding / green slime / black pudding / quantum mechanic / genetic engineer / rust monster / disenchanter / garter snake / snake / water moccasin / python / pit viper / cobra / troll / ice troll / rock troll / water troll / Olog-hai / umber hulk / vampire / vampire leader / Vlad the Impaler / barrow wight / wraith / Nazgul / xorn / monkey / ape / owlbear / yeti / carnivorous ape / sasquatch / kobold zombie / gnome zombie / orc zombie / dwarf zombie / elf zombie / human zombie / ettin zombie / ghoul / giant zombie / skeleton / straw golem / paper golem / rope golem / gold golem / leather golem / wood golem / flesh golem / clay golem / stone golem / glass golem / iron golem / human / elf / Woodland-elf / Green-elf / Grey-elf / elf-noble / elven monarch / doppelganger / shopkeeper / guard / prisoner / Oracle / aligned cleric / high cleric / soldier / sergeant / nurse / lieutenant / captain / watchman / watch captain / Medusa / Wizard of Yendor / Croesus / ghost / shade / water demon / amorous demon / horned devil / erinys / barbed devil / marilith / vrock / hezrou / bone devil / ice devil / nalfeshnee / pit fiend / sandestin / balrog / Juiblex / Yeenoghu / Orcus / Geryon / Dispater / Baalzebub / Asmodeus / Demogorgon / Death / Pestilence / Famine / mail daemon / djinni / jellyfish / piranha / shark / giant eel / electric eel / kraken / newt / gecko / iguana / baby crocodile / lizard / chameleon / crocodile / salamander / long worm tail / archeologist / barbarian / cave dweller / healer / knight / monk / cleric / ranger / rogue / samurai / tourist / valkyrie / wizard / Lord Carnarvon / Pelias / Shaman Karnov / Hippocrates / King Arthur / Grand Master / Arch Priest / Orion / Master of Thieves / Lord Sato / Twoflower / Norn / Neferet the Green / Minion of Huhetotl / Thoth Amon / Chromatic Dragon / Cyclops / Ixoth / Master Kaen / Nalzok / Scorpius / Master Assassin / Ashikaga Takauji / Lord Surtur / Dark One / student / chieftain / neanderthal / attendant / page / abbot / acolyte / hunter / thug / ninja / roshi / guide / warrior / apprentice / corpse"
"394","","invisible monster",""
"395","789","object: strange object","strange object"
"396","790","object: generic strange","strange / generic strange"
"397","791","object: generic weapon","weapon / generic weapon"
"398","792","object: generic armor","armor / generic armor"
"399","793","object: generic ring","ring / generic ring"
"400","794","object: generic amulet","amulet / generic amulet"
"401","795","object: generic tool","tool / generic tool"
"402","796","object: generic food","food / generic food"
"403","797","object: generic potion","potion / generic potion"
"404","798","object: generic scroll","scroll / generic scroll"
"405","799","object: generic spellbook","spellbook / generic spellbook"
"406","800","object: generic wand","wand / generic wand"
"407","801","object: generic coin","coin / generic coin"
"408","802","object: generic gem","gem / generic gem"
"409","803","object: generic large rock","large rock / generic large rock"
"410","804","object: generic iron ball","iron ball / generic iron ball"
"411","805","object: generic iron chain","iron chain / generic iron chain"
"412","806","object: generic venom","venom / generic venom"
"413","807","object: arrow","arrow"
"414","807","object: elven arrow","arrow"
"415","807","object: orcish arrow","arrow"
"416","807","object: silver arrow","arrow"
"417","811","object: ya","bamboo arrow / ya"
"418","812","object: crossbow bolt","crossbow bolt"
"419","813","object: dart","dart"
"420","814","object: shuriken","throwing star / shuriken"
"421","815","object: boomerang","boomerang"
"422","816","object: spear","spear"
"423","816","object: elven spear","spear"
"424","816","object: orcish spear","spear"
"425","816","object: dwarvish spear","spear"
"426","816","object: silver spear","spear"
"427","821","object: javelin","throwing spear / javelin"
"428","822","object: trident","trident"
"429","823","object: dagger","dagger"
"430","823","object: elven dagger","dagger"
"431","823","object: orcish dagger","dagger"
"432","823","object: silver dagger","dagger"
"433","827","object: athame","athame"
"434","828","object: scalpel","scalpel"
"435","829","object: knife","knife"
"436","830","object: stiletto","stiletto"
"437","831","object: worm tooth","worm tooth"
"438","829","object: crysknife","knife"
"439","833","object: axe","axe"
"440","833","object: battle-axe","axe"
"441","835","object: short sword","short sword"
"442","835","object: elven short sword","short sword"
"443","835","object: orcish short sword","short sword"
"444","835","object: dwarvish short sword","short sword"
"445","839","object: scimitar","curved sword / scimitar"
"446","840","object: silver saber","silver saber"
"447","841","object: broadsword","broadsword"
"448","841","object: elven broadsword","broadsword"
"449","843","object: long sword","long sword"
"450","844","object: two-handed sword","two-handed sword"
"451","845","object: katana","samurai sword / katana"
"452","846","object: tsurugi","long samurai sword / tsurugi"
"453","847","object: runesword","runed broadsword / runesword"
"454","848","object: partisan","vulgar polearm / partisan"
"455","849","object: ranseur","hilted polearm / ranseur"
"456","850","object: spetum","forked polearm / spetum"
"457","851","object: glaive","single-edged polearm / glaive"
"458","852","object: halberd","angled poleaxe / halberd"
"459","853","object: bardiche","long poleaxe / bardiche"
"460","854","object: voulge","pole cleaver / voulge"
"461","855","object: fauchard","pole sickle / fauchard"
"462","921","object_cond: shimmering dragon scale mail","scale mail"
"463","856","object: guisarme","pruning hook / guisarme"
"464","857","object: bill-guisarme","hooked polearm / bill-guisarme"
"465","","object_cond: conditional_object",""
"466","858","object: lucern hammer","pronged polearm / lucern hammer"
"467","859","object: bec de corbin","beaked polearm / bec de corbin"
"468","860","object: dwarvish mattock","broad pick / dwarvish mattock"
"469","861","object: lance","lance"
"470","862","object: mace","mace"
"471","862","object: silver mace","mace"
"472","864","object: morning star","morning star"
"473","865","object: war hammer","war hammer"
"474","866","object: club","club"
"475","","object_cond: conditional_object",""
"476","867","object: rubber hose","rubber hose"
"477","868","object: quarterstaff","staff / quarterstaff"
