"en","jp","category","type"
"Ritual dagger that engraves Elbereth on the floor instantly with 100% safety.","100%安全かつ一瞬で床にエルベレスの文字を刻める儀式用短剣。","WEAPON","flavor"
"Precision surgical knife.","精密な医療用執刀ナイフ。","WEAPON","flavor"
"Utility knife.","万能小型ナイフ。","WEAPON","flavor"
"Slender stabbing blade designed to penetrate armor joints.","甲冑の隙間を突くために設計された細身の刺突剣。","WEAPON","flavor"
"Raw worm tooth. Can be transformed into crysknife with scroll of enchant weapon.","ワームの生の歯。武器強化の巻物でクリスナイフへと変化する。","WEAPON","flavor"
"Razor-sharp crystal blade created from worm tooth.","ワームの歯から作られたカミソリのように鋭利な結晶の刃。","WEAPON","flavor"
"Woodcutting tool that doubles as a deadly hand axe.","致命的な手斧としても使用できる木こり用の斧。","WEAPON","flavor"
"Devastating 2-handed battle axe.","壊滅的な破壊力を誇る両手持ちのバトルアックス。","WEAPON","flavor"
"Standard one-handed short sword.","標準的な片手用ショートソード。","WEAPON","flavor"
"Elven short sword.","エルフのショートソード。","WEAPON","flavor"
"Orcish short sword.","オークのショートソード。","WEAPON","flavor"
"Dwarvish short sword.","ドワーフのショートソード。","WEAPON","flavor"
"Curved sword favored by desert warriors.","砂漠の戦士に愛用される曲刀（シミター）。","WEAPON","flavor"
"Silver burns evil entities on touch, making it one of the deadliest weapons in Gehennom.","銀は触れるだけで邪悪を焼き灼く、ゲヘノムで最も致命的な武器の1つ。","WEAPON","flavor"
"Heavy broad-bladed sword.","幅広の重厚な剣（ブロードソード）。","WEAPON","flavor"
"Elven broadsword.","エルフのブロードソード。","WEAPON","flavor"
"The classic adventurer sidearm. Reliable and versatile in single-handed combat.","冒険者のクラシックな片手剣。信頼性と汎用性に優れた長剣。","WEAPON","flavor"
"Massive 2-handed sword dealing 3d6 damage to large beasts.","大型モンスターに対して 3d6 ダメージを叩き込む巨大な両手剣。","WEAPON","flavor"
"Masterwork folded steel blade with highest single-handed longsword base damage.","片手剣最高峰の基本攻撃力を誇る名工の折り返し鍛造刀（カタナ）。","WEAPON","flavor"
"Giant 2-handed Samurai blade capable of severe slicing.","凄まじい斬撃力を秘めた侍の巨大な両手刀（ツルギ）。","WEAPON","flavor"
"Runed sword infused with dark magic.","ルーン文字が刻まれた闇の魔法を宿す剣。","WEAPON","flavor"
"Heavy dwarvish digging tool that acts as a lethal 2-handed weapon.","致命的な両手武器としても機能する重厚なドワーフの掘削ツール（マトック）。","WEAPON","flavor"
"Heavy lance dealing devastating damage during horseback charging.","乗馬突撃時に強烈なダメージを与える重ランス。","WEAPON","flavor"
"Heavy blunt mace.","重厚な打撃武器（メイス）。","WEAPON","flavor"
"Silver mace delivering bludgeoning silver damage.","銀の打撃属性ダメージを与える銀のメイス。","WEAPON","flavor"
"Spiked ball morning star.","スパイクのついた鉄球型モーニングスター。","WEAPON","flavor"
"Heavy war hammer.","重厚なウォーハンマー。","WEAPON","flavor"
"Basic wooden club.","素朴な木製棍棒。","WEAPON","flavor"
"Flexible weapon that disarms opponents and insulates against electricity.","相手の武器を奪い、電撃を絶縁する柔軟なゴムホース。","WEAPON","flavor"
"Simple wooden pole loved by spellcasters and monks.","詠唱者や修道士に愛されるシンプルな木製杖。","WEAPON","flavor"
"Thonged club that automatically returns to hand when thrown.","投擲しても自動的に手元へと戻ってくる紐付き棍棒（グラップリング・クラブ）。","WEAPON","flavor"
"Chained flail.","鎖で繋がれた鉄球打撃武器（フレイル）。","WEAPON","flavor"
"Leather whip capable of disarming enemies and taming beasts.","敵の武器を落とさせ、野生動物をテイム（手懐け）できる革の鞭。","WEAPON","flavor"
"Wooden bow for firing arrows.","矢を発射するための木製の弓。","WEAPON","flavor"
"Elven bow with higher fire velocity.","連射速度と威力を高めたエルフの弓。","WEAPON","flavor"
"Orcish bow.","オークの弓。","WEAPON","flavor"
"Japanese long bow (Yumi).","長大な威力を誇る和弓。","WEAPON","flavor"
"Leather sling for launching rocks and flint stones.","石や火打ち石を投射するための革製スリング（投石紐）。","WEAPON","flavor"
"Crossbow for shooting bolts.","強力なボルトを発射するクロスボウ。","WEAPON","flavor"

"Light elven leather helm.","軽量なエルフの革兜。","ARMOR","flavor"
"Orcish iron skull cap.","オークの鉄製スカルキャップ。","ARMOR","flavor"
"Dwarvish hard iron hat.","頑丈なドワーフの鉄帽子。","ARMOR","flavor"
"Stylish fedora hat.","スタイリッシュなフェドーラ帽。","ARMOR","flavor"
"Conical wizard hat boosting spellcasting success for Wizards.","魔法使の呪文詠唱成功率を引き上げるとんがり帽子。","ARMOR","flavor"
"Dunce cap reducing Intelligence when worn.","着用すると知能が低下する愚者の帽子。","ARMOR","flavor"
"Dented iron pot worn as emergency helm.","緊急用の兜代わりに頭に被る凹んだ鉄鍋。","ARMOR","flavor"
"Enchanted helmet that boosts Intelligence and Wisdom.","知能と叡智を大幅に高めるエンチャントされた輝きの兜。","ARMOR","flavor"
"Standard plumed iron helmet.","標準的な羽飾り付き鉄兜。","ARMOR","flavor"
"Helm of caution preventing surprise attacks.","不意打ちや奇襲を防ぐ警告の兜。","ARMOR","flavor"
"Cursed helmet inverting alignment (Lawful <-> Chaotic).","着用者の属性（秩序↔混沌）を反転させる呪われた兜。","ARMOR","flavor"
"Visored helm that grants Telepathy (ESP) to see mind-bearing monsters.","精神を持つモンスターの位置を透視するテレパシー（ESP）を付与する兜。","ARMOR","flavor"
"Forged from gray dragon scales. Grants essential Magic Resistance.","グレー・ドラゴンの鱗から作られた甲冑。必須となる魔法耐性を付与する。","ARMOR","flavor"
"Gold dragon scale mail granting Disintegration Resistance.","分解耐性を付与するゴールド・ドラゴンスケールメイル。","ARMOR","flavor"
"Forged from silver dragon scales. Reflects rays and death zaps.","シルバー・ドラゴンの鱗から作られた甲冑。死の光線やビームを反らし反射する。","ARMOR","flavor"
"Red dragon scale mail granting Fire Resistance.","火炎耐性を付与するレッド・ドラゴンスケールメイル。","ARMOR","flavor"
"White dragon scale mail granting Cold Resistance.","冷気耐性を付与するホワイト・ドラゴンスケールメイル。","ARMOR","flavor"
"Orange dragon scale mail granting Sleep Resistance.","睡眠耐性を付与するオレンジ・ドラゴンスケールメイル。","ARMOR","flavor"
"Black dragon scale mail granting Disintegration Resistance.","分解耐性を付与するブラック・ドラゴンスケールメイル。","ARMOR","flavor"
"Blue dragon scale mail granting Shock Resistance.","電撃耐性を付与するブルー・ドラゴンスケールメイル。","ARMOR","flavor"
"Green dragon scale mail granting Poison Resistance.","毒耐性を付与するグリーン・ドラゴンスケールメイル。","ARMOR","flavor"
"Yellow dragon scale mail granting Acid Resistance.","酸耐性を付与するイエロー・ドラゴンスケールメイル。","ARMOR","flavor"
"Maximum early physical protection for heavy melee knights.","序盤における近接重騎士のための最高峰の物理防御甲冑（プレートメイル）。","ARMOR","flavor"
"Heavy crystalline plate mail.","重厚な結晶のプレートメイル。","ARMOR","flavor"
"Lightweight elven mithril coat that never hinders spellcasting.","呪文の詠唱を一切妨げない軽量なエルフのミスリルコート。","ARMOR","flavor"
"Tropical shirt worn under body armor for extra enchantment slots.","鎧の下に重ね着してAC強化枠を増やせるアロハシャツ。","ARMOR","flavor"
"Casual T-shirt worn under armor for extra enchantment AC.","鎧の下に重ね着できるTシャツ。","ARMOR","flavor"
"Waterproof cloak protecting wearer and inventory from water damage.","水濡れや水没から着用者とインベントリのアイテムを守る完全防水マント。","ARMOR","flavor"
"Spellcaster robe that dramatically increases spellcasting success.","呪文の詠唱成功率を飛躍的に高める魔法使のローブ。","ARMOR","flavor"
"Protective cloak granting high AC and Magic Cancellation (MC3).","高い防具ACと最高レベルの魔法打ち消し効果(MC3)を授ける保護のマント。","ARMOR","flavor"
"Cloak that renders wearer completely invisible.","着用者を完全に透明化させる透明マント。","ARMOR","flavor"
"Rare cloak granting Magic Resistance to body.","身体に魔法耐性を与える貴重な魔除けのマント。","ARMOR","flavor"
"Cloak projecting false images to confuse enemy melee attacks.","残像を投影して敵の近接攻撃を幻惑・錯乱させる幻影のマント。","ARMOR","flavor"
"Polished silver shield reflecting death zaps and petrifying gazes.","死の光線やメデューサの石化視線を跳ね返す研磨された銀の盾。","ARMOR","flavor"
"Essential gloves for handling petrifying cockatrice corpses safely.","コカトリスの死体を素手で触れて石化するのを防ぐ必須の革手袋。","ARMOR","flavor"
"Heavy gauntlets boosting Strength to 18/100 instantly.","腕力（Strength）を即座に 18/100（最大値）まで引き上げるパワーガントレット。","ARMOR","flavor"
"Gloves boosting Dexterity and dual-wielding accuracy.","器用さ（Dexterity）と二刀流の命中率を高める手袋。","ARMOR","flavor"
"Boots granting Very Fast movement speed to outrun lethal threats.","致命的な脅威から即座に逃走できる超高速移動（Very Fast）を付与するスピードブーツ。","ARMOR","flavor"
"Boots allowing wearer to walk across deep water.","深い水面の上を陸地のように歩行できる水上歩行の靴。","ARMOR","flavor"
"Boots enabling continuous levitation over pits and lava.","落とし穴や溶岩の上を安全に浮遊移動できる浮遊の靴。","ARMOR","flavor"

"Enables continuous levitation to bypass pits, land mines, water, and lava.","落とし穴、地雷、水地帯、溶岩を通過できる連続浮遊効果。","RING","flavor"
"Sows chaos in monster packs, causing enemy numbers to attack each other.","モンスターの群れに混乱を撒き散らし、敵同士で同士討ちを発生させる。","RING","flavor"
"Grants total immunity to poisonous attacks and tainted food.","毒攻撃や腐敗した毒肉に対する完全な免疫を付与する。","RING","flavor"
"Renders wearer completely immune to paralysis and freeze effects.","金縛りや麻痺、フリーズ状態異常を完全に無効化する。","RING","flavor"
"Halves hunger rate, solving food shortages.","空腹度の減る速度を半減させ、食料不足を解消する。","RING","flavor"
"Grants full mastery over teleportation destinations.","テレポートの跳び先目的地を100%制御・指定できるようになる。","RING","flavor"
"Renders wearer invisible to monsters without see-invisible.","可視能力を持たないモンスターから完全に姿を消す。","RING","flavor"

"Reveals location of all mind-bearing monsters on screen.","画面上の精神を持つ全モンスターの位置を即座に透視・察知する。","AMULET","flavor"
"A divine safety net that restores life once upon fatal death.","死亡時に一度だけ命を蘇生・全回復させる奇跡の護符。","AMULET","flavor"
"Reflects rays, zaps, and petrifying gazes back at attackers.","死の光線、魔法のビーム、石化視線を攻撃者へ跳ね返す。","AMULET","flavor"

"Waterproof bag protecting internal contents even when submerged.","水没しても中のアイテムが一切濡れない防水の袋。","CONTAINER","flavor"
"Magical bag reducing weight of internal contents by 50%. Do NOT insert Bag of Tricks or Magic Lamp!","収納アイテムの重量を 50% に軽減する魔法の袋（保持の袋）。※手品袋や魔法のランプを入れると大爆発するので注意！","CONTAINER","flavor"
"Rubbing this lamp brings forth a Djinn to grant a wish.","擦ることで魔神（Djinn）が召喚され、願い（Wish）を叶えてくれる魔法のランプ。","TOOL","flavor"
"Essential mirror used to reflect Medusa's petrifying gaze back at her.","メデューサの石化視線を跳ね返して即死させるための必須の鏡。","TOOL","flavor"
"Blocks vision to protect against gaze attacks and paralyzing eyes.","視界を遮ることで、フローティングアイやメデューサの視線攻撃を完全に防ぐ。","TOOL","flavor"
"Magical marker used to write scrolls and spellbooks.","白紙の巻物や魔法書に任意の呪文を書き込める魔法のマジック。","TOOL","flavor"
"Instantly teleports your pets to your side from anywhere on floor.","フロアのどこからでもペットを一瞬で自分の隣へテレポートさせる魔法の笛。","TOOL","flavor"
"The Swiss Army knife of survival (#apply). Instantly cures poison, illness, blindness, and stat drain.","生存のための万能ツール（#apply）。毒、病気、失明、能力ドレインを100%即座に治癒する。","TOOL","flavor"

"iron","鉄","COMMON","material"
"wood","木","COMMON","material"
"silver","銀","COMMON","material"
"leather","革","COMMON","material"
"mithril","ミスリル","COMMON","material"
"bamboo","竹","COMMON","material"
"dragon scale","ドラゴンスケール","COMMON","material"
"cloth","布","COMMON","material"
"crystal","水晶","COMMON","material"
"rubber","ゴム","COMMON","material"
"metal","金属","COMMON","material"
"organ","器官","COMMON","material"
